from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,0,157.522826532098,65.988,0.769166666666667,39.5928,0,0,46.15,165533.432763229,10.92322016118,85.7915492957746,94.0736041748929,601.152569474852,2076.04366343071,669.830647870912,180.481309713099,74.4977461944148,5517.03993617055,56.3275474213275,33.3980349300457,28.5156673471865,10.0504932827669,14.9332642514397,16.7755189058996,7.50936385145658,3.77571537618843,5.17986623517345,1.93862512726734,2.10307087313138,6.49344279861221,5.82256129855699,3.19155973105849,3.34830065728311,2.56582285255854
8,9,0,17.8358342452276,313.9795,4.24166666666667,188.3877,354577.9375,1254.69228,1509.19228,271039.549896426,85.1008623567049,74.0226719056975,94.0736041748929,187.706358644675,463.10521802663,484.477325934671,51.8083512108083,93.2751776389139,149.427174559937,609.815695467401,32.8783650124159,24.4298940306635,38.9849154454268,10.9208444995624,0.493941249031504,1.53424957161317,0.5071097175024,0.694580976870294,0.125130524208739,0.178806434437325,9.60960570979221,3.77294767176519,1.02915398537834,1.87783558990687,0.631037279270684
12,13,0,8.50068934135928,87.814,1.36916666666667,52.6884,0,0,82.15,310891.644542143,27.3006388738237,64.1368228849665,94.0736041748929,161.082204351788,99.8279057213805,442.653614849218,131.560773136355,14.5454238405014,78.3368847547193,34.1506462432281,358.760526422422,49.2756483953123,13.0150357989386,10.8832548392151,5.49747012858918,0.447747519425024,0.339858879963484,0.510714956311255,0.400568621045855,0.462333802716997,5.92168580551385,3.22136585141343,1.17122902728345,1.67682392136755,0.817861067077784
13,14,0,10.7149534878732,133.228,1.94,79.9368,0,0,116.4,274960.242463544,36.632403182933,68.6742268041237,94.0736041748929,146.718668089009,1197.46208830774,1674.34268138205,111.294669760606,14.0074832123244,61.4968964708184,29.4897136104747,614.199669655527,33.2347614893545,11.6924727013245,7.46857001125424,7.15505481555105,1.41835991330308,0.792576396265297,1.1343124169446,0.597982692474202,0.672757447512951,5.78076656652782,3.49322359792656,1.42285831446429,1.87195066359417,1.03858061172382
12,15,0,3.81274084456477,90.895,1.52833333333333,54.537,0,0,91.7,465925.111398882,42.3502630006014,59.4732824427481,94.0736041748929,4.69234031989568,32.546138488371,76.6730615310653,100.593975265029,37.4342183389967,99.3968959754909,38.5758998915791,317.434267439506,108.533362814078,14.2324557067274,20.9061363492897,0.0462729317400131,2.41281596170046,1.00670842710128,1.35219584771764,0.220762966294466,0.205176175084673,5.326179549696,1.93971045399184,0.280296805590063,0.869046783148117,0.0686702229004542
15,16,0,41.2438203598992,167.5675,2.685,100.5405,0,0,161.1,299174.881902869,50.131987023259,62.4087523277467,94.0736041748929,7.29655418046849,1188.50335323957,114.943975603485,69.6544679425802,39.5683768080808,62.6940536305625,27.2022606559779,495.240080838471,101.383387162633,10.4698050821554,16.7077460543029,0.662046113003584,1.65144292736367,0.675223637462424,0.901745115622991,0.122511550637723,0.106812729397578,4.11367763860782,1.60237817867376,0.286845785340778,0.733830509951046,0.111505342948847
16,17,0,403.573245027922,116.749,1.39583333333333,70.0494,0,0,83.75,146524.520097305,17.1065911968403,83.6410746268657,94.0736041748929,466.537942636476,736.36903661671,81.7413102151966,168.57702900387,1.87189947821033,43.3736720123616,29.1714363791635,2786.69227497243,48.3660715540465,12.676335153069,5.553462086237,17.8646586763042,6.30135235258309,3.11940402501063,4.36707051425497,1.73284293266448,1.90019703431993,8.19496805998615,6.4220819329748,3.20068421317338,3.63617945535851,2.49179243598166
10,18,0,222.063429687399,93.252,1.11,55.9512,0,0,66.6,194213.946955775,18.1108389815199,84.0108108108108,94.0736041748929,107.759691158435,3044.57154574488,105.567444396627,40.2762027452588,1187.7534836313,54.0513327546918,3744.3026979523,21.2475853899414,18.424521605295,60.5573439364501,10.4019436782498,5.6060190178512,3.01642775203599,1.21987788303569,1.70932459984103,0.240267921576632,0.220032124292576,8.68839891578082,2.5572475726419,0.393853860152503,1.21353974508926,0.131380977766026
6,20,0,63.8881073432384,234.8035,2.85416666666667,140.8821,0,0,171.25,180556.475158965,42.395292314988,82.2669197080292,94.0736041748929,391.338942607733,1119.22432758941,23.6821128909531,1467.91567037356,41.9610166077843,61.4567556030003,21.1361484646533,34.9798383019115,2.28495698923882,7.88668081451533,7.71758562765376,19.450486853191,6.76682415507721,3.29109773056444,4.6048288298621,1.71008710907682,1.86442083328203,6.58783325866932,5.7262426010785,2.96196602236079,3.1938704069778,2.34045192228044
20,21,0,38.4932302955194,82.3785,0.984166666666667,49.4271,0,0,59.05,136137.78109061,11.2148261995728,83.7038103302286,94.0736041748929,647.62909576027,178.431845076099,30.3726249479214,215.69305588253,24.126709813962,83.7968078458291,64.4447138309134,16.1166927005277,50.5071577016942,20.5908458257743,27.7179173633571,19.4435464358888,9.08333598449021,4.1065468285331,5.70669068979633,1.66614587138661,1.76410610017793,4.03052372412852,1.41202910018743,1.88691617011464,1.13419703926315,1.72099938702525
