from,from_ctry,to,to_ctry,sp_distance,distance,duration_100kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_100kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj
17,SEN,13,SEN,83568.1698496587,100960.348888639,60.5762093331836,93.1941682048978,0,0,100960.348888639,60.5762093331836,93.1941682048978,15405.1103515625,381149.875,682.68518277959,595513.217197439,595513.217197439
24,SEN,17,SEN,248391.979735447,300087.233935433,180.05234036126,277.003600555785,0,0,300087.233935433,180.05234036126,277.003600555785,11640.2783203125,193754.796875,110.604513066364,493602.563044268,493602.563044268
28,SEN,24,SEN,268528.362149009,324414.393396812,194.648636038087,299.459440058596,0,0,324414.393396812,194.648636038087,299.459440058596,15460.2158203125,42880.42578125,22.2017185906038,446872.811740439,446872.811740439
37,MRT,24,SEN,279031.53326751,337103.48091026,202.262088546156,311.172443917163,1159498.125,2481.384135,1496601.60591026,2683.64622354616,2792.55657891716,33745.125,110003.71875,53.4386454573086,527650.433624595,527650.433624595
43,GIN,32,GIN,84786.2337245793,102431.915802236,61.4591494813419,94.5525376636029,0,0,102431.915802236,61.4591494813419,94.5525376636029,121219.5859375,99297.8828125,175.523055648341,679854.083870123,679854.083870123
41,SEN,34,GIN,139391.093290342,168401.12013796,101.040672082776,155.447187819656,1182544.75,3170.43765,1350945.87013796,3271.47832208278,3325.88483781966,140000.40625,32300.716796875,34.2140078238792,603135.90405412,603135.90405412
53,MLI,37,MRT,242460.182772169,292920.913409011,175.752548045407,270.388535454472,853437.509375,2800.64166,1146358.42278401,2976.39420804541,3071.03019545447,50539.77734375,267262.9375,162.427461912915,608103.467749491,608103.467749491
61,MLI,37,MRT,243396.586341149,294052.200969752,176.431320581851,271.432800895156,853437.509375,2800.64166,1147489.71034475,2977.07298058185,3072.07446089516,33955.29296875,64405.234375,36.9055546978051,512044.250079356,512044.250079356
69,MLI,37,MRT,255583.771651715,308775.779135204,185.265467481123,285.023796124804,853437.509375,2800.64166,1162213.2885102,2985.90712748112,3085.6654561248,24810.248046875,103351.9921875,55.6646717548832,510265.42010208,510265.42010208
48,GIN,42,GIN,105609.020820363,127588.334254456,76.5530005526737,117.773847004113,0,0,127588.334254456,76.5530005526737,117.773847004113,74070.2578125,169747.609375,238.185981877559,657595.226902534,657595.226902534
49,GIN,42,GIN,102516.540461134,123852.247936415,74.3113487618489,114.325151941306,0,0,123852.247936415,74.3113487618489,114.325151941306,64906.296875,89635.828125,130.366613037412,615112.422782217,615112.422782217
44,SLE,43,GIN,173205.039900806,209252.413797207,125.551448278324,193.156074274345,1213091.28125,3788.9571,1422343.69504721,3914.50854827832,3982.11317427435,102837.6015625,201042.234375,169.876088191835,664729.565723006,664729.565723006
212,MLI,46,ESH,1546780.04633362,1868695.3826172,1121.21722957032,1724.94958395434,461663.978125,2101.512765,2330359.3607422,3222.72999457032,3826.46234895434,9546.392578125,1762.77746582031,0.116302722971215,325874.99422801,325874.99422801
51,SLE,50,SLE,113970.159612019,137689.590402946,82.6137542417675,127.098083448873,0,0,137689.590402946,82.6137542417675,127.098083448873,47033.921875,392464.90625,506.446875624174,663829.267099644,663829.267099644
61,MLI,52,MLI,241906.89396904,292252.474328671,175.351484597202,269.771514764927,0,0,292252.474328671,175.351484597202,269.771514764927,36089.11328125,30530.712890625,18.0542980143486,486511.823767422,486511.823767422
82,GIN,52,MLI,227544.433294142,274900.903231138,164.940541938683,253.754679905666,876484.134375,3489.695175,1151385.03760614,3654.63571693868,3743.44985490567,41956.15625,147683.71875,92.2129230426426,566956.589308859,566956.589308859
56,GIN,55,GIN,251745.737268304,304138.974343466,182.483384606079,280.743668624737,0,0,304138.974343466,182.483384606079,280.743668624737,48497.49609375,133498.71875,75.3535914450837,567199.286652963,567199.286652963
68,LBR,57,SLE,205637.993667622,248435.302852665,149.061181711599,229.324894940922,1514732.15625,5712.42855,1763167.45910267,5861.4897317116,5941.75344494092,27725.7890625,62148.0859375,44.5760440362935,507630.299046701,507630.299046701
110,MAR,59,DZA,356149.953692373,430271.760721125,258.163056432675,397.173932973346,732254.25,3534.56034,1162526.01072113,3792.72339643268,3931.73427297335,232823.4375,299557.6875,114.131073271932,709011.735603304,236337.245201101
148,MAR,59,DZA,317496.895962005,383574.241784295,230.144545070577,354.068530877811,732254.25,3534.56034,1115828.49178429,3764.70488507058,3888.62887087781,104775.15625,245219.25,109.38273652754,641928.192140954,213976.064046985
206,DZA,62,MRT,1505607.02947572,1818953.45151773,1091.37207091064,1679.03395524714,1124027.78125,4233.689235,2942981.23276773,5325.06130591064,5912.72319024714,4631.6005859375,30747.919921875,2.1873539261352,326654.134710834,326654.134710834
82,GIN,67,MLI,182197.401360511,220116.262460374,132.069757476224,203.184242271115,876484.134375,3489.695175,1096600.39683537,3621.76493247622,3692.87941727112,18747.59375,146215.734375,118.025705142744,525523.06522277,525523.06522277
70,MLI,69,MLI,71678.1707275522,86595.8071999429,51.9574843199657,79.9345912614857,0,0,86595.8071999429,51.9574843199657,79.9345912614857,31008.181640625,21400.9765625,44.3533048042859,514277.789774929,514277.789774929
121,MLI,74,MLI,164408.481260151,198625.118369084,119.175071021451,183.346263109924,0,0,198625.118369084,119.175071021451,183.346263109924,3422.17651367188,160367.984375,143.782583479914,435698.464278137,435698.464278137
134,MLI,74,MLI,195674.263633945,236397.924718838,141.838754831302,218.213468971235,0,0,236397.924718838,141.838754831302,218.213468971235,6595.06982421875,110537.8984375,82.8286632062826,449990.708786706,449990.708786706
