from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km_adj,cost_km_adj,upgrade_cat,ug_cost_km
80,CIV,83,MLI,213695.389870868,242417.5,355.9,40.86836189941,100,145.4505,684707.353125,4722.524205,5078.424205,4867.974705,20489.31640625,143118.09375,99.0821859130654,523386.451042019,523386.451042019,Upgrade,443133.861882242
80,CIV,98,CIV,118663.437033619,132580,122.4,64.9901960784314,100,79.548,0,0,122.4,79.548,43739.12890625,71640.2578125,88.1140245377718,567621.299314018,567621.299314018,Mixed Works,305569.466130713
83,MLI,99,MLI,198599.403872394,209954.5,148.8,84.6590725806452,100,125.9727,0,0,148.8,125.9727,24017.419921875,425826.34375,315.057941446985,588236.793083432,588236.793083432,Asphalt Mix Resurfacing,139216.041029745
93,MAR,100,MAR,103748.60841356,112417.5,99.4,67.8576458752515,100,67.4505,0,0,99.4,67.4505,65299.9453125,438410.9375,609.628673043071,701438.26286237,701438.26286237,Mixed Works,377607.598174242
95,CIV,101,CIV,44071.1487325383,46194,40.8,67.9323529411765,100,27.7164,0,0,40.8,27.7164,9986.3564453125,139312.984375,456.51996152116,609880.780822196,609880.780822196,Mixed Works,328319.153675949
101,CIV,102,CIV,48222.6546278267,54362,59.5,54.8188235294118,100,32.6172,0,0,59.5,32.6172,23947.90234375,73289.8046875,219.916477358735,570401.080823037,570401.080823037,Upgrade,482939.581763504
101,CIV,103,CIV,57632.2392735385,58835.5,48.25,73.1633160621762,100,35.3013,0,0,48.25,35.3013,12878.724609375,239101.421875,607.105232769079,577074.373535477,577074.373535477,Mixed Works,310658.371086598
96,MAR,104,MAR,123888.185450402,143830.5,98.95,87.2140474987368,100,86.2983,0,0,98.95,86.2983,138146.71875,1006836.25,1177.83434747774,811564.811624781,811564.811624781,Asphalt Mix Resurfacing,192070.338751198
105,CIV,106,CIV,114944.963761028,133228,116.4,68.6742268041237,100,79.9368,0,0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,510762.060303799,Mixed Works,274960.242463544
105,CIV,107,CIV,294735.057027992,330069.5,312.35,63.4037778133504,100,198.0417,0,0,312.35,198.0417,17967.166015625,1060221.75,493.544954737564,590138.42550879,590138.42550879,Mixed Works,317691.185732232
