lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows
-17.446713,14.692814,SEN,Dakar - Senegal,TRUE,3223755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417263.262
-17.044529,14.7029696,SEN,Awka - Nigeria,FALSE,505227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0
-16.6384888,15.1122198,SEN,Benin City - Nigeria,FALSE,74508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0
-16.4633198,14.7565098,SEN,Shagamu - Nigeria,FALSE,113325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0
-16.4205399,14.3423595,SEN,Owerri - Nigeria,FALSE,18416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0
-17.033333,20.933297,MRT,Nouadhibou - Mauritania,TRUE,118000,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197029.5
-16.8981705,21.2914486,MRT,Ashmūn - Egypt,FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0
-15.978542,18.085588,MRT,Nouakchott - Mauritania,TRUE,1440712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334524
-15.67383,23.8871498,ESH,Abeokuta - Nigeria,FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0
-16.2439098,15.6356897,SEN,Akure - Nigeria,FALSE,93802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0
-16.577537,13.453171,GMB,"Banjul - Gambia, The",TRUE,976753,1827.81084253539,39.6195599018914,1785319723.87897,38698523.9928521,GMBJL,Banjul,AI,184275
-16.2409897,12.7924099,SEN,Ilorin - Nigeria,FALSE,91883,2295.74090262069,36.7829540931087,210939561.355497,3379728.1709371,,,,0
-16.076402,14.138908,SEN,Kaolack - Senegal,TRUE,187932,2278.7640345833,45.3761239685572,428252682.54731,8527625.72965889,"","","",0
-15.6096001,13.5730095,GMB,Pretoria - South Africa,FALSE,70315,1877.21348753621,26.69126049904,131996266.376109,1876795.98199,,,,0
-16.50258,16.034409,SEN,Saint-Louis - Senegal,TRUE,154555,2616.38725725041,41.8228350121846,404375732.544337,6463928.26530819,"","","",0
-15.804984,16.512799,MRT,Rosso - Mauritania,TRUE,159231,3119.63824766881,37.3432812371366,496743117.814552,5946208.0146705,"","","",0
-15.883334,14.866839,SEN,Touba - Senegal,TRUE,597230,2294.61226912889,41.7294708957356,1370411285.49184,24922091.9030602,"","","",0
-15.575626,11.856113,GNB,Bissau - Guinea-Bissau,TRUE,503968,1367.43735056953,29.1359647460553,689144666.691825,14683593.88114,GWOXB,Bissau,AI,114309
-15.65446,14.4204092,SEN,Osogbo - Nigeria,FALSE,0,2255.07749469541,31.0289501068166,0,0,,,,0
-15.5441999,14.1010094,SEN,Ţūkh - Egypt,FALSE,69357,2287.6685,33.2273419593215,158665824.1545,2304548.75627266,,,,0
-13.9632597,17.0292988,MRT,Bafoussam - Cameroon,FALSE,15521,3680.26830758623,24.3321127914395,57121444.4020459,377658.722635932,,,,0
-15.945537,23.708077,ESH,Ad Dakhla - Morocco,TRUE,106277,6999.25678566019,41.685948396546,743860013.409608,4430257.53773972,"","","",0
-14.2343597,16.6268101,MRT,Shibīn al Qanāţir - Egypt,FALSE,10415,3292.61139046978,26.1754116436426,34292547.6317428,272616.912268538,,,,0
-13.9593992,16.1129189,SEN,Abū Ḩummuş - Egypt,FALSE,0,2493.74395561908,28.4022929330901,0,0,,,,0
-13.203346,27.153675,ESH,Laayoune - Morocco,TRUE,217732,7166.58209753815,43.2531834575172,1560394253.26118,9417602.14057214,"","","",0
-14.2115793,13.3027792,GMB,Uyo - Nigeria,FALSE,61291,1770.86443929862,23.1067512092836,108538052.349052,1416235.8883682,,,,0
-15.3329,12.0479898,GNB,Meknès - Morocco,FALSE,0,1367.45133840083,18.1778592380354,0,0,,,,0
-13.6763992,13.7135201,SEN,Abū Ţisht - Egypt,FALSE,78800,2287.6685,28.5775553827832,180268277.8,2251911.36416331,,,,0
-14.8474998,12.0527,GNB,Al Fashn - Egypt,FALSE,54756,1394.43121299449,18.6469722659379,76353475.4987265,1021033.6133937,,,,0
-14.299376,10.940929,GIN,Boke - Guinea,TRUE,116270,1146.57562365401,27.5929884020649,133312347.762251,3208236.76150809,"","","",0
-13.3009596,12.4839897,GIN,Bibā - Egypt,FALSE,13990,1189.02775135884,23.7319650851646,16634498.2415102,332010.191541452,,,,0
-13.6282301,10.0732899,GIN,Kitwe - Zambia,FALSE,0,1176.62521698137,26.8793431772143,0,0,,,,0
-13.1784992,11.1257696,GIN,Ado-Ekiti - Nigeria,FALSE,0,1125.84335585272,17.2149499541175,0,0,,,,0
-13.0830994,11.79953,GIN,Kenitra - Morocco,FALSE,7461,1135.4866,20.8461390559678,8471865.5226,155533.043496575,,,,0
-13.8246593,13.3325996,SEN,Ţanţā - Egypt,FALSE,0,2141.07888826552,23.0399064754911,0,0,,,,0
-13.7090893,13.0267,SEN,Al Bājūr - Egypt,FALSE,0,2287.6685,21.3110377398114,0,0,,,,0
-11.400062,16.629969,MRT,Kiffa - Mauritania,TRUE,110714,3692.66927840016,24.5103198098448,408830186.488796,2713635.54742716,"","","",0
-12.2216101,14.4544096,SEN,Talā - Egypt,FALSE,20065,2223.952360451,30.4239054818422,44623604.1124494,610455.663493164,,,,0
-13.712215,9.509116,GIN,Conakry - Guinea,TRUE,1667864,2150.37966857964,47.7173443768735,3586540835.55592,79586040.8617897,GNCKY,Conakry,AI,676607.90476
-13.5013895,9.7055101,GIN,Zaria - Nigeria,FALSE,0,1177.39094451741,47.8186094627483,0,0,,,,0
-12.1095896,12.6156893,SEN,Thiès - Senegal,FALSE,11216,2258.58745277728,29.7127985122773,25332316.87035,333258.748113702,,,,0
-12.9784594,10.6564093,GIN,Asyūţ - Egypt,FALSE,30311,1134.95099453162,19.5251633744116,34401499.5952479,591827.22704179,,,,0
-12.854191,10.049703,GIN,Kindia - Guinea,TRUE,181126,1272.4382327917,31.7736110513414,230471647.35263,5755027.07528526,"","","",0
-12.7595196,8.4948397,SLE,Oyo - Nigeria,FALSE,0,1525.79033972791,18.3068914371631,0,0,,,,0
-13.234314,8.484392,SLE,Freetown - Sierra Leone,TRUE,1035246,1636.18751938735,51.9455928614036,1693856584.69567,53776467.2273966,SLFNA,Freetown,AI,292305
-11.6982899,26.7553997,ESH,Tétouan - Morocco,FALSE,57035,6390.125709182,25.1492270818786,364460819.823195,1434386.16661495,,,,0
-11.1610899,28.4597492,MAR,Buurhakaba - Somalia,FALSE,73209,6295.70213058728,39.2491173607986,460902057.278165,2873388.6328667,,,,0
-12.283231,11.316916,GIN,Labe - Guinea,TRUE,127747,1146.98337636056,35.8287216279254,146523685.379933,4577011.70180259,"","","",0
-12.08277,10.383497,GIN,Mamou - Guinea,TRUE,376269,1135.61305456118,26.8662514052221,427295988.426679,10108937.5499915,"","","",0
-11.74007,7.956451,SLE,Bo - Sierra Leone,TRUE,249807,1496.9442,25.5146367561591,373947139.7694,6373734.86414584,"","","",0
-10.971644,8.643743,SLE,Koidu - Sierra Leone,TRUE,300387,1517.04766003136,22.0121301485176,455701395.453841,6612157.73892276,"","","",0
-10.8695793,12.6057196,MLI,Umuahia - Nigeria,FALSE,10832,2285.3071,24.4574447781555,24754446.5072,264923.041836981,,,,0
-11.432892,14.449705,MLI,Kayes - Mali,TRUE,174373,2363.01954108217,36.6490483544719,412046806.437122,6390604.50871433,"","","",0
-11.8790693,12.8341799,SEN,Ash Shuhadā’ - Egypt,FALSE,0,2287.6685,30.2988245952444,0,0,,,,0
-11.5879192,10.1457901,GIN,Gwagwalada - Nigeria,FALSE,0,1178.37874359219,21.1600028678453,0,0,,,,0
-9.299825,10.383689,GIN,Kankan - Guinea,TRUE,198013,1153.17201735961,31.112356240142,228343050.673428,6160650.99617924,"","","",0
-11.3188601,7.3100801,SLE,Birkat as Sab‘ - Egypt,FALSE,0,1344.94827331861,15.4784810906556,0,0,,,,0
-11.1890097,7.8601699,SLE,Okene - Nigeria,FALSE,188463,1485.97140072144,26.5325861186727,280050628.094164,5000410.77768342,,,,0
-2.216954,31.616774,DZA,Bechar - Algeria,TRUE,179119,13194.7313701357,47.9612505819522,2363427088.28733,8590771.24298869,"","","",0
-10.0955496,9.1883497,GIN,Muhanga - Rwanda,FALSE,66815,1121.84293071791,25.8338628216588,74955935.4159169,1726089.54442914,,,,0
-10.3059597,14.7111797,MLI,Az Zaqāzīq - Egypt,FALSE,18328,2285.3071,26.3038363987401,41885108.5288,482096.713516109,,,,0
-9.6050797,16.6627998,MRT,Al Waqf - Egypt,FALSE,24199,3760.08548182476,19.5791653774687,90990308.5746773,473796.222969366,,,,0
-10.801398,6.313299,LBR,Monrovia - Liberia,TRUE,1110250,967.725459213548,41.2600904571139,1074417191.09184,45809015.4300107,LRMLW,Monrovia,AI,467272.00002
-10.132382,8.567176,GIN,Gueckedou - Guinea,TRUE,221715,1099.39487496181,19.6079430369351,243752334.702158,4347375.09043406,"","","",0
-10.066664,28.983267,MAR,Guelmim - Morocco,TRUE,118318,6238.3237,43.0273185293868,738105983.5366,5090906.27375998,"","","",0
-10.4223099,8.6459198,GIN,Malabo - Equatorial Guinea,FALSE,0,1227.60079775481,18.0701264188066,0,0,,,,0
-9.4627399,13.0295696,MLI,Shubrākhīt - Egypt,FALSE,57187,2269.38964058337,35.3665191502151,129779585.376041,2022505.13064335,,,,0
-9.4801102,7.0074396,LBR,Kafr Şaqr - Egypt,FALSE,34046,786.9167,15.4325262289124,26791365.9682,525415.787989552,,,,0
-9.544252,15.181505,MLI,Nioro - Mali,TRUE,116376,2301.37386339613,31.0032048103123,267824684.726588,3608028.96300491,"","","",0
-9.5260296,14.5371294,MLI,Vila Teixeira da Silva - Angola,FALSE,52399,2258.05105134941,26.6645356098404,118319617.039658,1397195.00142003,,,,0
-9.4735699,8.5450697,GIN,Korhogo - Côte d’Ivoire,FALSE,43102,1096.84397846855,22.3680314344588,47276169.1599514,964106.890888042,,,,0
