iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
RWA,518680.5,518680.5,915833.3125,1082500,601770.8125,775208.3125,808680.5625,921190.4375,700208.3125,1058422.625,1189270.8125,754821.4375,766207.1875,591458.3125,945119,768020.8125,739226.1875,842916.6875,746527.75,1329003.125,1218958.3125,1274375,1713255.1875,1234583.3125,962708.3125,1059136.875,1248645.8125,1484930.8125,1234583.3125,2560833.3125,1010364.5625,433020.8125,1047864.5625,847083.3125,650208.3125,406266,647278.625,771458.3125,0,1101190.4375,1261458.3125,895520.8125,748125,590208.3125,493958.3125,453333.3125,1085833.3125,434583.2875,1025208.3125,768674.25
BDI,497132.875,497132.875,894285.6875,1060952.375,580223.1875,753660.6875,787132.9375,899642.8125,678660.6875,1036875,1167723.1875,733273.8125,744659.5625,569910.6875,923571.375,746473.1875,717678.5625,821369.0625,724980.125,1307455.5,1197410.6875,1252827.375,1691707.5625,1213035.6875,941160.6875,1037589.25,1227098.1875,1463383.1875,1213035.6875,2539285.6875,988816.9375,411473.1875,1026316.9375,825535.6875,628660.6875,384718.375,745731,749910.6875,413794.625,0,1239910.6875,873973.1875,726577.375,568660.6875,472410.6875,431785.6875,1064285.6875,413035.6625,1003660.6875,747126.625
TZA,1241597.1875,1241597.1875,1638750,1805416.6875,1324687.5,1498125,1531597.25,1644107.125,1423125,1781339.3125,1912187.5,1477738.125,1489123.875,1314375,1668035.6875,1490937.5,1462142.875,1565833.375,1469444.4375,2051919.8125,1941875,1997291.6875,2436171.875,1957500,1685625,1782053.5625,1971562.5,2207847.5,1957500,3283750,1733281.25,1155937.5,1770781.25,1570000,1253125,1129182.6875,1370195.3125,1494375,1158258.9375,1824107.125,0,1498437.5,1471041.6875,1193125,1096875,1176250,1808750,1157499.975,1748125,1491590.9375
KEN,543472.1875,543472.1875,940625,1107291.6875,626562.5,8e+05,833472.25,945982.125,725000,1083214.3125,1214062.5,779613.125,790998.875,616250,969910.6875,792812.5,764017.875,867708.375,771319.4375,1353794.8125,1243750,1299166.6875,1738046.875,1259375,987500,1083928.5625,1273437.5,1509722.5,1259375,2705625,915156.25,457812.5,1072656.25,751875,675000,431057.6875,672070.3125,796250,580133.9375,1245982.125,1286250,0,772916.6875,615000,518750,478125,990625,459374.975,1050000,793465.9375
ZWE,619722.1875,619722.1875,1016875,1183541.6875,702812.5,876250,909722.25,1022232.125,801250,1159464.3125,1290312.5,855863.125,867248.875,692500,1046160.6875,869062.5,840267.875,943958.375,847569.4375,1430044.8125,1320000,1375416.6875,1814296.875,1335625,1063750,1160178.5625,1349687.5,1585972.5,1335625,2781875,1111406.25,414062.5,1148906.25,948125,631250,387307.6875,868320.3125,752500,656383.9375,1322232.125,1482500,996562.5,0,571250,595000,554375,1186875,535624.975,1126250,869715.9375
MOZ,811388.875,811388.875,1208541.6875,1375208.375,894479.1875,1067916.6875,1101388.9375,1213898.8125,992916.6875,1351131,1481979.1875,1047529.8125,1058915.5625,884166.6875,1237827.375,1060729.1875,1031934.5625,1135625.0625,1039236.125,1621711.5,1511666.6875,1567083.375,2005963.5625,1527291.6875,1255416.6875,1351845.25,1541354.1875,1777639.1875,1527291.6875,2973541.6875,1303072.9375,725729.1875,1340572.9375,1139791.6875,822916.6875,698974.375,1059987,944166.6875,848050.625,1513898.8125,1554166.6875,1188229.1875,920833.375,0,666666.6875,746041.6875,1378541.6875,607291.6625,1317916.6875,1061382.625
MWI,700788.375,700788.375,1097941.1875,1264607.875,783878.6875,957316.1875,990788.4375,1103298.3125,882316.1875,1240530.5,1371378.6875,936929.3125,948315.0625,773566.1875,1127226.875,950128.6875,921334.0625,1025024.5625,928635.625,1511111,1401066.1875,1456482.875,1895363.0625,1416691.1875,1144816.1875,1241244.75,1430753.6875,1667038.6875,1416691.1875,2862941.1875,1192472.4375,615128.6875,1229972.4375,1029191.1875,712316.1875,588373.875,949386.5,953566.1875,737450.125,1403298.3125,1443566.1875,1077628.6875,930232.875,652316.1875,0,635441.1875,1267941.1875,616691.1625,1207316.1875,950782.125
LSO,485347.1875,485347.1875,882500,1049166.6875,568437.5,741875,775347.25,887857.125,666875,1025089.3125,1155937.5,721488.125,732873.875,558125,911785.6875,734687.5,705892.875,809583.375,713194.4375,1295669.8125,1185625,1241041.6875,1679921.875,1201250,929375,1025803.5625,1215312.5,1451597.5,1201250,2647500,977031.25,399687.5,1014531.25,813750,616875,372932.6875,733945.3125,618125,522008.9375,1187857.125,1348125,862187.5,714791.6875,556875,460625,0,1052500,401249.975,991875,735340.9375
SOM,863472.1875,863472.1875,1260625,1427291.6875,946562.5,1120000,1153472.25,1265982.125,1045000,1403214.3125,1534062.5,1099613.125,1110998.875,936250,1289910.6875,1112812.5,1084017.875,1187708.375,1091319.4375,1673794.8125,1563750,1619166.6875,2058046.875,1579375,1307500,1403928.5625,1593437.5,1829722.5,1579375,3025625,1355156.25,777812.5,1392656.25,1071875,995000,751057.6875,1112070.3125,1116250,900133.9375,1565982.125,1726250,1120312.5,1092916.6875,935000,838750,798125,0,779374.975,1250000,1113465.9375
SWZ,466597.1625,466597.1625,863749.975,1030416.6625,549687.475,723124.975,756597.225,869107.1,648124.975,1006339.2875,1137187.475,702738.1,714123.85,539374.975,893035.6625,715937.475,687142.85,790833.35,694444.4125,1276919.7875,1166874.975,1222291.6625,1661171.85,1182499.975,910624.975,1007053.5375,1196562.475,1432847.475,1182499.975,2628749.975,958281.225,380937.475,995781.225,794999.975,598124.975,354182.6625,715195.2875,599374.975,503258.9125,1169107.1,1329374.975,843437.475,696041.6625,418124.975,441874.975,401249.975,1033749.975,0,973124.975,716590.9125
DJI,773025.75,773025.75,1170178.5625,1336845.25,856116.0625,1029553.5625,1063025.8125,1175535.6875,954553.5625,1312767.875,1443616.0625,1009166.6875,1020552.4375,845803.5625,1199464.25,1022366.0625,993571.4375,1097261.9375,1000873,1583348.375,1473303.5625,1528720.25,1967600.4375,1488928.5625,1217053.5625,1313482.125,1502991.0625,1739276.0625,1488928.5625,2935178.5625,1264709.8125,687366.0625,1182209.8125,981428.5625,904553.5625,660611.25,1021623.875,1025803.5625,809687.5,1475535.6875,1635803.5625,1149866.0625,1002470.25,844553.5625,748303.5625,707678.5625,1220178.5625,688928.5375,0,1023019.5
MDG,950688.125,950688.125,1347840.9375,1514507.625,1033778.4375,1207215.9375,1240688.1875,1353198.0625,1132215.9375,1490430.25,1621278.4375,1186829.0625,1198214.8125,1023465.9375,1377126.625,1200028.4375,1171233.8125,1274924.3125,1178535.375,1761010.75,1650965.9375,1706382.625,2145262.8125,1666590.9375,1394715.9375,1491144.5,1680653.4375,1916938.4375,1666590.9375,3112840.9375,1442372.1875,865028.4375,1479872.1875,1279090.9375,1082215.9375,838273.625,1199286.25,1203465.9375,987349.875,1653198.0625,1813465.9375,1327528.4375,1180132.625,1022215.9375,925965.9375,885340.9375,1517840.9375,866590.9125,1457215.9375,0
