iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
GHA,3886.99998,3886.99998,4294.99998,4107.99993,4369.99998,4351.99998,6595.57098,4994.85708,4812.99993,5167.99998,6994.99998,4568.00064,4237.53846,4261.99998,0,4981.99998,4634.85708,5755.99998,4458,7221.71448,7537.99998,8065.99998,7918.99998,4855.99998,7915.99998,5421.71448,5827.99998,10083.99948,4531.99998,8959.99998,7720.99998,2977.99998,5475.730755,5123.46153,5107.99998,2948.346132,5626.99998,4396.99998,4266.49998,6270.49998,10345.99998,6145.99998,6777.00048,3106.99998,4031.57688,2949.49998,4606.99998,2943.166656,4945.99998,4702.72719
NER,2755.00002,2755.00002,3163.00002,2975.99997,3238.00002,3220.00002,4743.57102,3862.85712,2960.99997,4036.00002,5863.00002,4156.00068,3105.5385,3130.00002,3160.00002,0,2782.85712,5344.00002,2606.00004,5369.71452,5686.00002,6934.00002,6787.00002,3724.00002,6784.00002,4289.71452,4696.00002,8951.99952,3400.00002,7828.00002,6589.00002,1846.00002,4343.730795,3991.46157,3976.00002,1816.346172,4495.00002,3265.00002,3134.50002,5138.50002,9214.00002,5014.00002,5645.00052,1975.00002,2899.57692,1817.50002,3475.00002,1811.166696,3814.00002,3570.72723
LBY,3243,3243,3651,3463.99995,3726,3708,5231.571,4350.8571,4168.99995,4524,6351,4644.00066,2873.53848,4338,3648,3618,0,5832,3814.00002,6577.7145,6174,6702,7275,4212,7272,4777.7145,4464,9439.9995,3888,8316,7077,2334,4831.730775,4479.46155,4464,2304.346152,4983,3753,3622.5,5626.5,9702,5502,6133.0005,2463,3387.5769,2305.5,3963,2299.166676,4302,4058.72721
TGO,2802,2802,3210,3022.99995,3285,3267,5510.571,3909.8571,3727.99995,4083,5910,4203.00066,3152.53848,3177,2487,3897,3549.8571,0,2653.00002,6136.7145,6453,6981,6834,3771,6831,4336.7145,4743,8998.9995,3447,7875,6636,1893,4390.730775,4038.46155,4023,1863.346152,4542,3312,3181.5,5185.5,9261,5061,5692.0005,2022,2946.5769,1864.5,3522,1858.166676,3861,3617.72721
BEN,3189,3189,3597,3409.99995,3672,3654,5897.571,4296.8571,4114.99995,4470,6297,4590.00066,3539.53848,3564,3594,3564,3936.8571,5058,0,5803.7145,6840,7368,7221,4158,7218,4723.7145,5130,9385.9995,3834,8262,7023,2280,4777.730775,4425.46155,4410,2250.346152,4929,3699,3568.5,5572.5,9648,5448,6079.0005,2409,3333.5769,2251.5,3909,2245.166676,4248,4004.72721
NGA,4101.429,4101.429,4509.429,4322.42895,4584.429,4566.429,6810,5209.2861,5027.42895,5382.429,7209.429,5502.42966,4451.96748,5196.429,4506.429,4476.429,4849.2861,6690.429,3952.42902,0,7032.429,8280.429,7413.429,5070.429,8130.429,5636.1435,6042.429,10298.4285,4746.429,9174.429,7935.429,3192.429,5690.159775,5337.89055,5322.429,3162.775152,5841.429,4611.429,4480.929,6484.929,10560.429,6360.429,6991.4295,3321.429,4246.0059,3163.929,4821.429,3157.595676,5160.429,4917.15621
TCD,3843,3843,4251,4063.99995,4326,4308,6551.571,4950.8571,4768.99995,5124,6951,5244.00066,4193.53848,4938,4248,4218,3870.8571,6432,4414.00002,6457.7145,0,8022,7155,4812,7872,4657.7145,5064,10039.9995,4488,8916,7677,2934,5431.730775,5079.46155,5064,2904.346152,5583,4353,4222.5,6226.5,10302,6102,6733.0005,3063,3987.5769,2905.5,4563,2899.166676,4902,4658.72721
EGY,2979,2979,3387,3199.99995,3462,3444,5687.571,4086.8571,3904.99995,4260,6087,4380.00066,3329.53848,4074,3384,4074,3006.8571,5568,3550.00002,6313.7145,6630,0,7011,3948,7008,4513.7145,4200,9175.9995,3624,8052,6813,2070,4567.730775,4215.46155,4200,2040.346152,4719,3489,3358.5,5362.5,9438,5238,5869.0005,2199,3123.5769,2041.5,3699,2035.166676,4038,3794.72721
CMR,5157,5157,5565,5377.99995,5640,5622,7865.571,6264.8571,6082.99995,6438,8265,6558.00066,5507.53848,6252,5562,6252,5904.8571,7746,5728.00002,7771.7145,8088,9336,0,5406,8466,5971.7145,7098,10633.9995,5802,10230,8991,4248,6745.730775,6393.46155,6378,4218.346152,6897,5667,5536.5,7540.5,11616,7416,8047.0005,4377,5301.5769,4219.5,5877,4213.166676,6216,5972.72721
GAB,3531,3531,3939,3751.99995,4014,3996,6239.571,4638.8571,4456.99995,4812,6639,4932.00066,3881.53848,4626,3936,4626,4278.8571,6120,4102.00002,6865.7145,7182,7710,6843,0,6840,5065.7145,5472,9007.9995,4176,8604,7365,2622,5119.730775,4767.46155,4752,2592.346152,5271,4041,3910.5,5914.5,9990,5790,6421.0005,2751,3675.5769,2593.5,4251,2587.166676,4590,4346.72721
