iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
ZAF,2799,2799,3207,3019.99995,3282,3264,5507.571,3906.8571,3724.99995,4080,5907,4200.00066,3149.53848,3894,3204,3894,3546.8571,5388,3370.00002,6133.7145,6450,6978,6831,3768,6828,4333.7145,4740,8995.9995,3444,7872,6633,1890,4387.730775,4035.46155,4020,1860.346152,4539,0,3178.5,5182.5,9258,5058,5689.0005,2019,2943.5769,1861.5,3519,1855.166676,3858,3614.72721
RWA,2440.99995,2440.99995,2848.99995,2661.9999,2923.99995,2905.99995,5149.57095,3548.85705,3366.9999,3721.99995,5548.99995,3842.00061,2791.53843,3535.99995,2845.99995,3535.99995,3188.85705,5029.99995,3011.99997,5775.71445,6091.99995,6619.99995,6472.99995,3409.99995,6469.99995,3975.71445,4381.99995,8637.99945,3085.99995,7513.99995,6274.99995,1531.99995,4029.730725,3677.4615,3661.99995,1502.346102,4180.99995,2950.99995,0,4824.49995,8899.99995,4699.99995,5331.00045,1660.99995,2585.57685,1503.49995,3160.99995,1497.166626,3499.99995,3256.72716
BDI,2611.00005,2611.00005,3019.00005,2832,3094.00005,3076.00005,5319.57105,3718.85715,3537,3892.00005,5719.00005,4012.00071,2961.53853,3706.00005,3016.00005,3706.00005,3358.85715,5200.00005,3182.00007,5945.71455,6262.00005,6790.00005,6643.00005,3580.00005,6640.00005,4145.71455,4552.00005,8807.99955,3256.00005,7684.00005,6445.00005,1702.00005,4199.730825,3847.4616,3832.00005,1672.346202,4351.00005,3121.00005,2990.50005,0,9070.00005,4870.00005,5501.00055,1831.00005,2755.57695,1673.50005,3331.00005,1667.166726,3670.00005,3426.72726
TZA,3027,3027,3435,3247.99995,3510,3492,5735.571,4134.8571,3952.99995,4308,6135,4428.00066,3377.53848,4122,3432,4122,3774.8571,5616,3598.00002,6361.7145,6678,7206,7059,3996,7056,4561.7145,4968,9223.9995,3672,8100,6861,2118,4615.730775,4263.46155,4248,2088.346152,4767,3537,3406.5,5410.5,0,5286,5917.0005,2247,3171.5769,2089.5,3747,2083.166676,4086,3842.72721
KEN,1357.5,1357.5,1765.5,1578.49995,1840.5,1822.5,4066.071,2465.3571,2283.49995,2638.5,4465.5,2758.50066,1708.03848,2452.5,1762.5,2452.5,2105.3571,3946.5,1928.50002,4692.2145,5008.5,5536.5,5389.5,2326.5,5386.5,2892.2145,3298.5,7554.4995,2002.5,6430.5,5191.5,448.5,2946.230775,2593.96155,2578.5,418.846152,3097.5,1867.5,1737,3741,7816.5,0,4247.5005,577.5,1502.0769,420,2077.5,413.666676,2416.5,2173.22721
ZWE,2929.99995,2929.99995,3337.99995,3150.9999,3412.99995,3394.99995,5638.57095,4037.85705,3855.9999,4210.99995,6037.99995,4331.00061,3280.53843,4024.99995,3334.99995,4024.99995,3677.85705,5518.99995,3500.99997,6264.71445,6580.99995,7108.99995,6961.99995,3898.99995,6958.99995,4464.71445,4870.99995,9126.99945,3574.99995,8002.99995,6763.99995,2020.99995,4518.730725,4166.4615,4150.99995,1991.346102,4669.99995,3439.99995,3309.49995,5313.49995,9388.99995,5188.99995,0,2149.99995,3074.57685,1992.49995,3649.99995,1986.166626,3988.99995,3745.72716
MOZ,2217,2217,2625,2437.99995,2700,2682,4925.571,3324.8571,3142.99995,3498,5325,3618.00066,2567.53848,3312,2622,3312,2964.8571,4806,2788.00002,5551.7145,5868,6396,6249,3186,6246,3751.7145,4158,8413.9995,2862,7290,6051,1308,3805.730775,3453.46155,3438,1278.346152,3957,2727,2596.5,4600.5,8676,4476,5107.0005,0,2361.5769,1279.5,2937,1273.166676,3276,3032.72721
MWI,2632.76475,2632.76475,3040.76475,2853.7647,3115.76475,3097.76475,5341.33575,3740.62185,3558.7647,3913.76475,5740.76475,4033.76541,2983.30323,3727.76475,3037.76475,3727.76475,3380.62185,5221.76475,3203.76477,5967.47925,6283.76475,6811.76475,6664.76475,3601.76475,6661.76475,4167.47925,4573.76475,8829.76425,3277.76475,7705.76475,6466.76475,1723.76475,4221.495525,3869.2263,3853.76475,1694.110902,4372.76475,3142.76475,3012.26475,5016.26475,9091.76475,4891.76475,5522.76525,1852.76475,0,1695.26475,3352.76475,1688.931426,3691.76475,3448.49196
LSO,1077,1077,1485,1297.99995,1560,1542,3785.571,2184.8571,2002.99995,2358,4185,2478.00066,1427.53848,2172,1482,2172,1824.8571,3666,1648.00002,4411.7145,4728,5256,5109,2046,5106,2611.7145,3018,7273.9995,1722,6150,4911,168,2665.730775,2313.46155,2298,138.346152,2817,1587,1456.5,3460.5,7536,3336,3967.0005,297,1221.5769,0,1797,133.166676,2136,1892.72721
SOM,2106,2106,2514,2326.99995,2589,2571,4814.571,3213.8571,3031.99995,3387,5214,3507.00066,2456.53848,3201,2511,3201,2853.8571,4695,2677.00002,5440.7145,5757,6285,6138,3075,6135,3640.7145,4047,8302.9995,2751,7179,5940,1197,3694.730775,3342.46155,3327,1167.346152,3846,2616,2485.5,4489.5,8565,4365,4996.0005,1326,2250.5769,1168.5,0,1162.166676,3165,2921.72721
SWZ,1054.666665,1054.666665,1462.666665,1275.666615,1537.666665,1519.666665,3763.237665,2162.523765,1980.666615,2335.666665,4162.666665,2455.667325,1405.205145,2149.666665,1459.666665,2149.666665,1802.523765,3643.666665,1625.666685,4389.381165,4705.666665,5233.666665,5086.666665,2023.666665,5083.666665,2589.381165,2995.666665,7251.666165,1699.666665,6127.666665,4888.666665,145.666665,2643.39744,2291.128215,2275.666665,116.012817,2794.666665,1564.666665,1434.166665,3438.166665,7513.666665,3313.666665,3944.667165,274.666665,1199.243565,117.166665,1774.666665,0,2113.666665,1870.393875
DJI,2451,2451,2859,2671.99995,2934,2916,5159.571,3558.8571,3376.99995,3732,5559,3852.00066,2801.53848,3546,2856,3546,3198.8571,5040,3022.00002,5785.7145,6102,6630,6483,3420,6480,3985.7145,4392,8647.9995,3096,7524,6285,1542,4039.730775,3687.46155,3672,1512.346152,4191,2961,2830.5,4834.5,8910,4710,5341.0005,1671,2595.5769,1513.5,3171,1507.166676,0,3266.72721
MDG,2351.72724,2351.72724,2759.72724,2572.72719,2834.72724,2816.72724,5060.29824,3459.58434,3277.72719,3632.72724,5459.72724,3752.7279,2702.26572,3446.72724,2756.72724,3446.72724,3099.58434,4940.72724,2922.72726,5686.44174,6002.72724,6530.72724,6383.72724,3320.72724,6380.72724,3886.44174,4292.72724,8548.72674,2996.72724,7424.72724,6185.72724,1442.72724,3940.458015,3588.18879,3572.72724,1413.073392,4091.72724,2861.72724,2731.22724,4735.22724,8810.72724,4610.72724,5241.72774,1571.72724,2496.30414,1414.22724,3071.72724,1407.893916,3410.72724,0
