iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
LBR,1116909.6875,1116909.6875,1514062.5,1680729.1875,1200000,1373437.5,1406909.75,1519419.625,1298437.5,1656651.8125,0,1353050.625,1364436.375,1189687.5,1543348.1875,1366250,1337455.375,1441145.875,1344756.9375,1927232.3125,1817187.5,1872604.1875,2311484.375,1832812.5,1560937.5,1657366.0625,1846875,2083160,1832812.5,3279062.5,1608593.75,1031250,1646093.75,1445312.5,1248437.5,1004495.1875,1365507.8125,1369687.5,1153571.4375,1819419.625,1979687.5,1493750,1346354.1875,1188437.5,1092187.5,1051562.5,1684062.5,1032812.475,1623437.5,1366903.4375
CIV,564523.75,564523.75,961676.5625,1128343.25,647614.0625,821051.5625,854523.8125,967033.6875,746051.5625,1104265.875,1235114.0625,0,812050.4375,637301.5625,990962.25,813864.0625,785069.4375,888759.9375,792371,1374846.375,1264801.5625,1320218.25,1759098.4375,1280426.5625,1008551.5625,1104980.125,1294489.0625,1530774.0625,1280426.5625,2726676.5625,1056207.8125,478864.0625,1093707.8125,892926.5625,696051.5625,452109.25,813121.875,817301.5625,601185.5,1267033.6875,1427301.5625,941364.0625,793968.25,636051.5625,539801.5625,499176.5625,1131676.5625,480426.5375,1071051.5625,814517.5
TUN,574626.0625,574626.0625,971778.875,1138445.5625,657716.375,831153.875,864626.125,977136,756153.875,1114368.1875,1245216.375,810767,0,647403.875,1001064.5625,823966.375,795171.75,898862.25,802473.3125,1384948.6875,1274903.875,1330320.5625,1769200.75,1290528.875,1018653.875,1115082.4375,1304591.375,1540876.375,1290528.875,2736778.875,1066310.125,488966.375,1103810.125,903028.875,706153.875,462211.5625,823224.1875,827403.875,611287.8125,1277136,1437403.875,951466.375,804070.5625,646153.875,549903.875,509278.875,1141778.875,490528.85,1081153.875,824619.8125
BFA,431909.6875,431909.6875,829062.5,995729.1875,515000,688437.5,721909.75,834419.625,613437.5,971651.8125,1102500,668050.625,679436.375,0,858348.1875,681250,652455.375,756145.875,659756.9375,1242232.3125,1132187.5,1187604.1875,1626484.375,1147812.5,875937.5,972366.0625,1161875,1398160,1147812.5,2594062.5,923593.75,346250,961093.75,760312.5,563437.5,319495.1875,680507.8125,684687.5,468571.4375,1134419.625,1294687.5,808750,661354.1875,503437.5,407187.5,366562.5,999062.5,347812.475,938437.5,681903.4375
GHA,618472.1875,618472.1875,1015625,1182291.6875,701562.5,875000,908472.25,1020982.125,8e+05,1158214.3125,1289062.5,854613.125,865998.875,691250,0,867812.5,839017.875,942708.375,846319.4375,1428794.8125,1318750,1374166.6875,1813046.875,1334375,1062500,1158928.5625,1348437.5,1584722.5,1334375,2780625,1110156.25,532812.5,1147656.25,946875,750000,506057.6875,867070.3125,871250,655133.9375,1320982.125,1481250,995312.5,847916.6875,690000,593750,553125,1185625,534374.975,1125000,868465.9375
NER,484027.75625,484027.75625,881180.56875,1047847.25625,567118.06875,740555.56875,774027.81875,886537.69375,665555.56875,1023769.88125,1154618.06875,720168.69375,731554.44375,556805.56875,910466.25625,0,704573.44375,808263.94375,711875.00625,1294350.38125,1184305.56875,1239722.25625,1678602.44375,1199930.56875,928055.56875,1024484.13125,1213993.06875,1450278.06875,1199930.56875,2646180.56875,975711.81875,398368.06875,1013211.81875,812430.56875,615555.56875,371613.25625,732625.88125,736805.56875,520689.50625,1186537.69375,1346805.56875,860868.06875,713472.25625,555555.56875,459305.56875,418680.56875,1051180.56875,399930.54375,990555.56875,734021.50625
LBY,605882.875,605882.875,1003035.6875,1169702.375,688973.1875,862410.6875,895882.9375,1008392.8125,787410.6875,1145625,1276473.1875,842023.8125,853409.5625,678660.6875,1032321.375,855223.1875,0,930119.0625,833730.125,1416205.5,1306160.6875,1361577.375,1800457.5625,1321785.6875,1049910.6875,1146339.25,1335848.1875,1572133.1875,1321785.6875,2768035.6875,1097566.9375,520223.1875,1135066.9375,934285.6875,737410.6875,493468.375,854481,858660.6875,642544.625,1308392.8125,1468660.6875,982723.1875,835327.375,677410.6875,581160.6875,540535.6875,1173035.6875,521785.6625,1112410.6875,855876.625
TGO,332534.6875,332534.6875,729687.5,896354.1875,415625,589062.5,622534.75,735044.625,514062.5,872276.8125,1003125,568675.625,580061.375,405312.5,758973.1875,581875,553080.375,0,560381.9375,1142857.3125,1032812.5,1088229.1875,1527109.375,1048437.5,776562.5,872991.0625,1062500,1298785,1048437.5,2494687.5,824218.75,246875,861718.75,660937.5,464062.5,220120.1875,581132.8125,585312.5,369196.4375,1035044.625,1195312.5,709375,561979.1875,404062.5,307812.5,267187.5,899687.5,248437.475,839062.5,582528.4375
BEN,486805.5,486805.5,883958.3125,1050625,569895.8125,743333.3125,776805.5625,889315.4375,668333.3125,1026547.625,1157395.8125,722946.4375,734332.1875,559583.3125,913244,736145.8125,707351.1875,811041.6875,0,1297128.125,1187083.3125,1242500,1681380.1875,1202708.3125,930833.3125,1027261.875,1216770.8125,1453055.8125,1202708.3125,2648958.3125,978489.5625,401145.8125,1015989.5625,815208.3125,618333.3125,374391,735403.625,739583.3125,523467.25,1189315.4375,1349583.3125,863645.8125,716250,558333.3125,462083.3125,421458.3125,1053958.3125,402708.2875,993333.3125,736799.25
NGA,862668.625,862668.625,1259821.4375,1426488.125,945758.9375,1119196.4375,1152668.6875,1265178.5625,1044196.4375,1402410.75,1533258.9375,1098809.5625,1110195.3125,935446.4375,1289107.125,1112008.9375,1083214.3125,1186904.8125,1090515.875,0,1562946.4375,1618363.125,2057243.3125,1578571.4375,1306696.4375,1403125,1592633.9375,1828918.9375,1578571.4375,3024821.4375,1354352.6875,777008.9375,1391852.6875,1191071.4375,994196.4375,750254.125,1111266.75,1115446.4375,899330.375,1565178.5625,1725446.4375,1239508.9375,1092113.125,934196.4375,837946.4375,797321.4375,1429821.4375,778571.4125,1369196.4375,1112662.375
