city_port,population,lon,lat,iso3c,city_country,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,nl,nl_cap,major_city_port,product,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4,Lj_5,Dj_5,Yj_5,Pj_5,Lj_6,Dj_6,Yj_6,Pj_6,Lj_7,Dj_7,Yj_7,Pj_7,Lj_8,Dj_8,Yj_8,Pj_8,Lj_9,Dj_9,Yj_9,Pj_9,Lj_10,Dj_10,Yj_10,Pj_10,Lj_11,Dj_11,Yj_11,Pj_11,Lj_12,Dj_12,Yj_12,Pj_12,Lj_13,Dj_13,Yj_13,Pj_13,Lj_14,Dj_14,Yj_14,Pj_14,Lj_15,Dj_15,Yj_15,Pj_15,Lj_16,Dj_16,Yj_16,Pj_16,Lj_17,Dj_17,Yj_17,Pj_17,Lj_18,Dj_18,Yj_18,Pj_18,Lj_19,Dj_19,Yj_19,Pj_19,Lj_20,Dj_20,Yj_20,Pj_20,Lj_21,Dj_21,Yj_21,Pj_21,Lj_22,Dj_22,Yj_22,Pj_22
true,3223.755,-17.446713,14.692814,SEN,Dakar - Senegal,2287.6685,70.2606002240275,7.3748827652175e9,2.2650296127521e8,SNDKR,Dakar,AI,2417.263262,1726.64797008975,0.00515427997478229,true,6,31.831154011767275,3223.755,316513.3596051261,316645.78149451676,0.2269448917578287,31.832858337769853,3223.755,316537.5698551547,316673.91034934367,0.22693968175037177,0.0,9.562631918097884,0.0,1.8193548588753368,0.0,93.58351742792671,0.0,1.1529036821585903,0.0,8.613300704429946,0.0,1.857800097509096,0.0,2.1424472436191415,0.0,2.453866239967848,0.0,0.10251572836679104,0.0,4.506869299266562,3223.755,315837.60198212345,315941.70196920977,0.2270597376485583,0.0,0.2838453528174952,0.0,3.676347995276099,0.0,0.4996323472536313,0.0,3.2832415521901206,0.0,0.08904251955884021,0.0,4.635681563773242,0.0,0.15125141878607606,0.0,4.169587847196135,0.0,0.014304452299415344,0.0,6.682507447021478,0.0,0.08026661116515288,0.0,4.732886766373568,0.0,0.0073439960795743265,0.0,7.63568096624045,0.0,0.0017313609666153292,0.0,10.194353877887377,0.0,0.0024578614470826226,0.0,9.504399688641517,0.0,0.0008966149995655454,0.0,11.62837505075198,0.0,0.0009446943201955157,0.0,11.507518180830266,0.0,0.03824109828306206,0.0,5.489429239599769,0.0,0.036469396539802586,0.0,5.541758055933122,0.0,0.003189568802993691,0.0,9.021716177993673,0.0,0.011751874776911777,0.0,6.950441675722371,0.0,0.0017724271262879014,0.0,10.146668493572143
false,505.227,-17.044529,14.7029696,SEN,Yaoundé - Cameroon,2302.16270413245,52.2935947198641,1.16311475652073e9,2.64201359795328e7,,,,0.0,396.270565730296,0.00662799838393238,false,2,20.636129021309124,505.227,26706.98895443317,26974.63012215057,0.2732674811372234,20.648569229336513,505.227,26729.991843594467,27036.042065060967,0.27319687663614134,0.0,55.67385869621961,0.0,0.9413130709010687,505.227,26227.036287042618,26420.13597953278,0.27486187765778763,0.0,45.57503264299885,0.0,0.9797583115636409,0.0,4.234309078731246,0.0,1.5758245157462603,0.0,0.06538689719146998,0.0,3.6288292099239903,0.0,80.57218240233739,0.0,0.8742332658608398,0.0,0.23979807108236145,0.0,2.798306809033759,0.0,0.5111707658522744,0.0,2.4052000981148947,0.0,0.0549220526963047,0.0,3.7576417342390096,0.0,0.10649333148944787,0.0,3.2915472045958967,0.0,0.0062447704612311255,0.0,5.804477946042092,0.0,0.048337924576853285,0.0,3.8548471529765425,0.0,0.002919835890938254,0.0,6.757663127799956,0.0,0.0005863378114196769,0.0,9.316413731586895,0.0,0.0008614256792596313,0.0,8.626429495000178,0.0,0.0002866134273959593,0.0,10.75052953615336,0.0,0.00030327940397153444,0.0,10.62966267749697,0.0,0.01973175600767829,0.0,4.6113920362005425,0.0,0.018649333420122465,0.0,4.663721076148251,0.0,0.001148803907555442,0.0,8.143729556607228,0.0,0.004983416955352319,0.0,6.072414847519063,0.0,0.0006015754393752342,0.0,9.268725992035385
true,187.932,-16.076402,14.138908,SEN,Kaolack - Senegal,2278.7640345833,45.3761239685572,4.2825268254731e8,8.52762572965889e6,,,,0.0,314.559278847214,0.00270314100000742,false,1,18.580389994573235,187.932,8551.341304215744,8748.169717796325,0.2858377080645469,18.601093562806096,187.932,8564.956699052898,8756.925903086545,0.2857012114294804,187.932,8393.871846515314,8527.625729658892,0.28813097534900095,0.0,59.46062556633044,0.0,0.7754191513957842,0.0,5.5262162724053105,0.0,1.2470872865365459,0.0,24.93130133322176,0.0,0.9226424450999214,0.0,0.0371726438893515,0.0,3.391082318512873,0.0,3.3941380514965633,0.0,1.3747905304449943,0.0,0.04266718239792679,0.0,3.2988621381181673,0.0,1.0097626859465165,0.0,1.7520181293376071,0.0,0.057807377549478324,0.0,3.1044608586760827,0.0,0.03493386528066579,0.0,3.433473701783312,0.0,0.004595599270360121,0.0,5.1513044137892825,0.0,0.04954890747599494,0.0,3.2016664234505194,0.0,0.001966500580346804,0.0,6.104498179962073,0.0,0.0003416823464609625,0.0,8.663307591283173,0.0,0.0005173853130565423,0.0,7.973300432323495,0.0,0.00015888461323438358,0.0,10.097496243651287,0.0,0.00016874139186732575,0.0,9.976621662893699,0.0,0.011909417329461278,0.0,4.258001605887879,0.0,0.011203852931885265,0.0,4.31032998190153,0.0,0.0006139812000682555,0.0,7.704909846800954,0.0,0.002724836631054201,0.0,5.718988563338634,0.0,0.0003512417562447322,0.0,8.615618312043281
true,4552.105,-8.002662,12.639193,MLI,Bamako - Mali,2286.20141850059,45.3510168389582,1.04070289081636e10,2.06442590507706e8,,,,0.0,1059.27660221482,0.00292777249408515,true,4,18.62354207851061,4552.105,207818.88158195213,208027.4237252311,0.285553572936468,18.626074222420144,4552.105,207859.24851142024,208074.36379810533,0.2855369311084338,0.0,110.16893548456751,0.0,1.2909046716931472,0.0,81.24887757726816,0.0,1.3719634108028607,0.0,77.07719251065176,0.0,1.386503038937731,4552.105,206243.60142165847,206442.5905077058,0.2860420657691882,0.0,0.670753455728808,0.0,3.5809103686706862,0.0,5.198388975910226,0.0,2.3775642075061727,0.0,1.1677636089554302,0.0,3.205051671384819,0.0,3.9788697044819674,0.0,2.5081532385645633,0.0,2.5555470288812323,0.0,2.7403702113851827,0.0,2.307608772003997,0.0,2.7968783563566446,0.0,0.18666505766441088,0.0,4.624805633150448,0.0,3.556611794570857,0.0,2.5650670272816978,0.0,0.08080220656397057,0.0,5.467912188527605,0.0,0.011853019935894901,0.0,8.026773405524946,0.0,0.018578704085189354,0.0,7.336745931518166,0.0,0.005210103449372165,0.0,9.461027048576504,0.0,0.0055560885215462106,0.0,9.340145557804302,0.0,0.634071303148704,0.0,3.621416001245284,0.0,0.5901806509170927,0.0,3.673745307962472,0.0,0.022380340321587342,0.0,7.068595803533772,0.0,0.11645654522148552,0.0,5.08245276681878,0.0,0.012211502338091311,0.0,7.979082724952806
true,1440.712,-15.978542,18.085588,MRT,Nouakchott - Mauritania,3726.39485774327,41.8651880562521,5.36866178828902e9,6.03156788148991e7,MRNKC,Nouakchott,AI,334.524,1260.6454068121,0.0652106403689198,false,3,20.060818743373268,1440.712,73143.08781111357,73372.6998480343,0.276598994002203,20.07053396660382,1440.712,73193.69642510543,73446.6797390944,0.27654159285539925,0.0,11.868897276531529,0.0,1.5851589725949953,0.0,81.10900264427785,0.0,1.0792972788625625,1440.712,72522.27756494044,72693.06681489908,0.27724301079284586,0.0,60.10195998941577,0.0,1.1459803412236516,0.0,0.5535659515568858,0.0,2.926314954272976,0.0,8.911474944297124,0.0,1.6786686526051247,0.0,2.9378786557122094,0.0,2.0957917917047024,0.0,0.3487358332423838,0.0,3.2096349979242365,0.0,0.19637083003617756,0.0,3.6003075933358373,0.0,1.021144097015801,0.0,2.5890325835138457,0.0,0.023933075869700875,0.0,5.4847365565115815,0.0,0.2520397905196103,0.0,3.425004607215582,0.0,0.011708567025343869,0.0,6.327835432778023,0.0,0.0021434292438350685,0.0,8.88662955139259,0.0,0.003210794410695329,0.0,8.196629382951471,0.0,0.00101448561680025,0.0,10.320791771166325,0.0,0.0010760325806781132,0.0,10.19992020996467,0.0,0.13017082481236855,0.0,3.908879768505469,0.0,0.1217969724022313,0.0,3.9612089656788485,0.0,0.005206590786795719,0.0,7.441254830727659,0.0,0.02660370253181785,0.0,5.369910061750586,0.0,0.0025461531773345028,0.0,8.585814180126322
true,217.732,-13.203346,27.153675,ESH,Laâyoune - Morocco,7166.58209753815,43.2531834575172,1.56039425326118e9,9.41760214057214e6,,,,0.0,1006.13597651292,1.52940924551656,false,2,18.111480569534127,217.732,9552.067426510162,9677.758434897254,0.28898614418789076,18.139267395373206,217.732,9573.009854817814,9694.741789829586,0.28879624317555375,0.0,60.558918291544536,0.0,0.7970088940700224,217.732,9309.59769518452,9417.602140572135,0.2911471916655061,0.0,30.67529717375676,0.0,0.913147711585542,0.0,1.0841663404200925,0.0,1.7818848841674158,0.0,0.43580094037276224,0.0,2.1381651048970403,0.0,0.2931837697338948,0.0,2.3145731766322064,0.0,5.093896668897669,0.0,1.307641735645161,0.0,0.0258186645159804,0.0,3.762814596960776,0.0,0.019138151542234482,0.0,3.99502765611872,0.0,1.02817515085106,0.0,1.8008826277961951,0.0,0.007104493139854777,0.0,4.870733605743121,0.0,0.11096169935220976,0.0,2.811023092466839,0.0,0.003198074081795836,0.0,5.713803065163188,0.0,0.0005028647015523716,0.0,8.27231255854861,0.0,0.0007771703664311514,0.0,7.582431830514411,0.0,0.00022617951169220889,0.0,9.70605972874705,0.0,0.00024079416181630372,0.0,9.58523400996671,0.0,0.0657982582409314,0.0,3.1207306107331374,0.0,0.060548668769788296,0.0,3.173059867283543,0.0,0.0014941856773057485,0.0,6.653123180236754,0.0,0.009645816534716767,0.0,4.58176402998467,0.0,0.0006756545259558852,0.0,7.797732992336662
false,73.209,-11.1610899,28.4597492,MAR,Kukawa - Nigeria,6295.70213058728,39.2491173607986,4.60902057278165e8,2.8733886328667e6,,,,0.0,143.6101930679,0.0868098495387022,false,1,16.510939616333484,73.209,2814.080385454864,2965.9157070842775,0.30067564698634414,16.540372576301277,73.209,2821.249514853225,2972.0608096441724,0.300445917506147,73.209,2793.3427593460056,2873.388632866705,0.30419564882840333,0.0,27.28631483775435,0.0,0.7676952791096223,0.0,1.4037531665675442,0.0,1.3896957612653607,0.0,0.12591070313942723,0.0,2.2509486273467343,0.0,0.6033863439597951,0.0,1.6453520062832392,0.0,0.04295357135550667,0.0,2.7911207494262857,0.0,20.25620945067149,0.0,0.8148285028654996,0.0,0.016495047902218753,0.0,3.3799361677924025,0.0,0.01183228171979413,0.0,3.612151289785941,0.0,1.269143126051749,0.0,1.4179984808500377,0.0,0.003996766267747933,0.0,4.487870898277744,0.0,0.08620297485102003,0.0,2.4281401935541354,0.0,0.0016900579316208879,0.0,5.330967196684371,0.0,0.00023811053268275,0.0,7.889742269475366,0.0,0.00037622121895767885,0.0,7.199749885835867,0.0,0.0001033481986693371,0.0,9.323878420257039,0.0,0.00011031037647168154,0.0,9.203009686788539,0.0,0.047298413747933095,0.0,2.737846646671023,0.0,0.043026346735693194,0.0,2.790175916091349,0.0,0.0007508428463587832,0.0,6.270241554818898,0.0,0.00557491043909405,0.0,4.198880649551916,0.0,0.00032473463160694337,0.0,7.414875643337366
true,4219.891,-7.583329,33.53329,MAR,Casablanca - Morocco,9656.635,70.9405986874118,4.0749947126785e10,2.99361593935621e8,MACAS,Casablanca,AI,2434.0279715,4891.48252148204,0.0266118191390691,true,7,30.5571675737063,4219.891,390831.3656677634,390954.32465156517,0.2309526568381371,30.55950472649377,4219.891,390874.0700552054,390999.7394482619,0.23094508485166126,0.0,47.269745694509155,0.0,1.402902099818712,0.0,11.342126222277093,0.0,1.8664017185443913,0.0,2.692261880079284,0.0,2.488402152166144,0.0,0.6091440516540794,0.0,3.3496548020354577,0.0,190.44743783413537,0.0,1.061668643955608,0.0,0.28844911416454994,0.0,3.8898266147308,4219.891,389311.30109182326,389420.6288811209,0.2311450594298086,0.0,0.14255721984558845,0.0,4.478641433403829,0.0,0.1107188521808237,0.0,4.710856215011919,0.0,2.5442436556642787,0.0,2.5167048680580906,0.0,0.04720563491157578,0.0,5.586573777319644,0.0,0.4707471045176991,0.0,3.526846286335726,0.0,0.02337654970183241,0.0,6.429666448804455,0.0,0.004378398781658808,0.0,8.988410469288342,0.0,0.006527506272512553,0.0,8.29843065097392,0.0,0.002088705046705748,0.0,10.422504845135377,0.0,0.0022141389176218167,0.0,10.301640633920378,0.0,0.3090399694488906,0.0,3.836552551083863,0.0,0.2887996884924294,0.0,3.8888817821082817,0.0,0.011822278860068777,0.0,7.368933799558644,0.0,0.06156471200151157,0.0,5.297584359856613,0.0,0.00574346138672456,0.0,8.513552912545855
true,310.768,-6.600167,5.783308,CIV,Soubré - Côte d’Ivoire,3216.67761193904,26.8544558285881,9.99640468107073e8,8.34550552893867e6,,,,0.0,147.148333255437,0.00354645698741133,false,2,13.263354001504636,310.768,8736.245882920828,8801.244297164543,0.33026532865374997,13.312450378734225,310.768,8782.480472150719,8854.1340451597,0.32974266423869353,0.0,63.213482878854656,0.0,0.8860177411309558,310.768,8250.512343917595,8345.505528938666,0.3344322701674732,0.0,101.40889771068528,0.0,0.806100423046701,0.0,4.246665609873382,0.0,1.5205291813337896,0.0,0.1544681115319411,0.0,2.950100158422707,0.0,1.1554251166552978,0.0,1.9726772373124117,0.0,0.03841619079506114,0.0,3.8967452195244396,0.0,8.911617142192348,0.0,1.3110313082887322,0.0,0.25750126699066284,0.0,2.6634748357250073,0.0,0.06535283776085934,0.0,3.503900816953702,0.0,0.014885831854265157,0.0,4.710324519270916,0.0,0.09202306835686512,0.0,3.272090239951257,0.0,0.003844943995412906,0.0,6.174894994939402,0.0,0.0006794032438691972,0.0,8.733568302829196,0.0,0.0010252061208471093,0.0,8.043617176700923,0.0,0.00031772758679641947,0.0,10.167566934613825,0.0,0.00033729864480692,0.0,10.046713106366306,0.0,0.02271809251486222,0.0,4.328433655489307,0.0,0.02139327778342149,0.0,4.380762513496578,0.0,0.0012145705632094518,0.0,7.775492470821948,0.0,0.00530699562695424,0.0,5.789447269556142,0.0,0.0006982555437384641,0.0,8.685885234684966
true,390.654,-6.633194,4.750108,CIV,San-Pédro - Côte d’Ivoire,3573.43717303907,31.4114659961222,1.39597752539641e9,1.22710148372491e7,CISPY,San-Pdro,AI,2312.50202864,385.16868330869,0.00802107382333194,true,3,61.19468647903488,390.654,97574.98170249315,98149.2365076874,0.1715005723993518,61.16595728285215,390.654,97509.5472455018,98189.13768637125,0.1715350813310706,0.0,3.2650102203688878,0.0,1.3489279400944196,0.0,45.24843889630078,0.0,0.797342519152942,390.654,97562.87371296877,97833.5898969291,0.17175473752949105,0.0,0.47504450978407176,0.0,1.983439063668018,0.0,0.18234744461532043,0.0,2.4020712214616027,0.0,0.17014194001383046,0.0,2.435586455633482,0.0,0.009259473580797399,0.0,4.359636462767544,0.0,56.389802965542245,0.0,0.7630017398021126,0.0,0.1625335427539269,0.0,2.4579737067518588,0.0,0.014846825599151004,0.0,3.9667992138888897,0.0,0.007940670212278704,0.0,4.495689943689967,0.0,0.020062502044667797,0.0,3.7349917190837707,0.0,0.0011318983498531927,0.0,6.637649741543742,0.0,0.0002218682005997837,0.0,9.195685309917453,0.0,0.00032759781836669814,0.0,8.50599017239956,0.0,0.00010758032736322985,0.0,10.628841485271264,0.0,0.00011390192433794706,0.0,10.508078413932939,0.0,0.00577522773513291,0.0,4.7913134295314075,0.0,0.005469946618908425,0.0,4.843640586509859,0.0,0.0003844629349280036,0.0,8.237944924321887,0.0,0.0015264735675625922,0.0,6.2522422116985625,0.0,0.00022770657585599973,0.0,9.148022577664651
