from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65.988,SEN,SEN,43272.2243477175,0.7691666666666667,85.7915492957747,100,39.5928,0.0,0.0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,false,1.092322016118e7,10.923220161180001,85.79154929577464,98.68075397980607,211.9271256442618,663.1977292000371,253.89704945942043,120.73138901376353,28.476742814881963,1353.5765932890379,42.3410447259111,61.923700086888296,23.804866139688855,23.223713542897,10.932517321396883,13.054058485184258,5.236748282549505,3.070262124614282,3.2203774298079035,2.023680678842274,2.177116529301888,7.794994821293725,7.031356529600208,3.2548486177450195,4.012020015138437,2.613447659085346
6,7,141.0,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,313.9795,ESH,MAR,247859.897052163,4.241666666666666,74.0226719056975,100,188.3877,354.5779375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,false,8.51008623567049e7,85.10086235670491,74.02267190569745,98.68075300130343,3.929843462531479e-8,379.9195786015238,144.65249571175923,86.5479384856684,78.840208377641,61.81054606037923,459.4921874297301,32.393136535043894,26.04455780426998,1.0962351714318662e-8,13.70120064973384,1.0962352090847866e-8,1.0962352908516722e-8,1.096235391221603e-8,1.096235379745057e-8,1.0962355159498478e-8,1.0962354892083486e-8,1.0962351717266327e-8,1.0962351717485212e-8,1.0962353730256825e-8,1.096235171860581e-8,1.096235430725095e-8
9,10,54.0,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133.228,CIV,CIV,114944.963761028,1.9400000000000002,68.6742268041237,100,79.9368,0.0,0.0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,false,3.6632403182933e7,36.632403182933004,68.6742268041237,98.6807534144495,59.467652143509135,516.5668128999947,366.94077715695556,29.96924362173396,7.23333475676549,119.46937037345752,28.694306037087955,237.35225946959656,24.496459490543817,3.1430256350960786,9.618866220125748,3.8433923562725236,1.291621764706574,0.6974667758787493,0.7362446204005111,0.4316839598164783,0.467773165292961,1.3353641862709165,1.2066353582904634,0.7317558980876637,0.8688080575858601,0.5724854342769621
18,19,226.0,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118.365,GHA,GHA,103948.594932945,1.4383333333333332,82.2931633835458,100,71.019,0.0,0.0,86.3,71.019,13171.91796875,1.3683005e6,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,false,1.78832854997729e7,17.8832854997729,82.29316338354577,98.68075386426023,295.7052483762789,314.64421922596415,9.031837143127896e-9,282.44386188841975,131.20967797386476,43.05296856309955,42.621591107004825,23.95434125321688,1011.3926918038766,41.680198777187684,6.3611652209926855e-9,60.02963285384286,16.73440794954145,8.757539146798651,9.266336455723948,5.968891713985924,6.483490627669087,18.006779677262138,16.243753613384374,10.300268934463425,12.314902489466398,7.986787469962516
22,23,621.0,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,161.349,BFA,GHA,135202.366530895,2.0208333333333335,79.8428041237113,100,96.8094,774.79909375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,false,4.59534827254868e7,45.9534827254868,79.84280412371133,82.60997790345952,4.805640048217974e-10,2.868913638964147e-10,57.85874172060449,65.76847336784783,10.900146932878133,4.984003977863782,20.259721123804756,2.3832701483574198e-7,396.97968821794836,2.487464674910715,6.345750226032918,118.44642452056036,12.236334711746876,5.919081157857264,6.3129988848593,6.899729385720482,11.495774162950605,32.7771935815192,29.460292054866933,18.43822579106254,22.146298845264113,14.21685731548027
6,27,20.0,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216.845,ESH,ESH,155608.120636636,3.353333333333333,64.6655069582505,100,130.107,0.0,0.0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,false,6.53538856478265e7,65.3538856478265,64.6655069582505,67.58279647542992,156.74493428112146,163.97489821191007,102.41514713580642,11.213910015086896,1.5011381913124526e-8,95.68991367404675,1.5011381973363696e-8,2.7392465829312806,2.0619778373421975,63.655637511916716,0.9314712170236564,2.2975147392600936,0.7362858874711916,0.4020634908339274,0.42405573471984,0.2572011203672417,0.2787224099677383,16.809393307183033,15.00307569573537,0.43808738544927117,8.176827491928167,0.34117805156744335
29,30,122.0,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52.6905,DZA,DZA,42929.6448713745,0.7908333333333334,66.6265542676502,100,31.6143,0.0,0.0,47.45,31.6143,102480.53125,1.198788e6,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,false,2.46556398484801e7,24.655639848480103,66.62655426765015,98.68075334681829,1.686813529087054e-8,1177.8619549716605,50.77602500411461,52.69311779053034,9.789012767833826e-9,29.51839138159066,51.758093949507064,27.395306607408767,25.49742633697748,1132.177270429638,19.31275657658596,52.22086213841842,13.752348042216376,7.053430475257146,7.474439109937234,4.35833650825473,4.74972461254845,4.838545740800727e-9,4.838545757181057e-9,4.83854607405191e-9,4.838545911892614e-9,1.9089522147858e-8
32,33,232.0,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89.1025,NGA,NGA,74234.8746220459,1.1008333333333333,80.9409538228615,100,53.4615,0.0,0.0,66.05,53.4615,11906.6416015625,1.316382875e6,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,false,1.3657566954844e7,13.657566954844,80.94095382286147,98.680753819599,30.91795600270371,582.8593600606314,110.84301539163279,777.3478444210455,167.21208927137005,7.656164303307264e-11,7.656187540115961e-11,21.70648889717651,32.109558201991696,24.679405042513533,4.571719703994439e-8,56.5904220566028,1.8289791488549853e-9,1.8289791787931597e-9,1.8289791749373334e-9,1.8289792122963502e-9,2.3631276236306347e-9,22.68656214903998,8.060026958553258e-9,2.3631278533136967e-9,8.060026873319479e-9,2.3631277338049017e-9
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54.628,NGA,NGA,46634.2796254837,0.6808333333333334,80.236964504284,100,32.7768,0.0,0.0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,false,7.45794309984761e6,7.45794309984761,80.23696450428396,98.68075379634742,8.256238292110851e-8,1.4492108635737855e-8,93.65663684521977,12.29173752133691,117.02639627552695,5.4574509679734895,4.26911507214717,69.11087638189471,97.82090355870837,12.395433929610233,138.54733676705814,13.046794755280974,47.51299549386801,21.722688812546817,23.178205639690866,7.575927336553835,4.040882295536273,11.809337954602213,11.271753943166594,6.8166625565901615,8.166262163137105,5.103878887652412
34,35,1109.0,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51.7555,NGA,NGA,47081.9799942888,0.6108333333333333,84.7293315143247,100,31.0533,0.0,0.0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,false,6.63383446738966e6,6.63383446738966,84.72933151432468,98.6807539447228,119.14187175741873,6.479207795346498e-9,56.468528414031915,10.601396904581664,3.372641900023958e-8,7.529883953638189e-9,7.529884470113858e-9,57.15651429752105,79.64062345211242,13.74694361391655,721.3335080099133,59.99573979336254,139.79018879345463,61.51484180448916,65.86122558779935,26.26296556059169,23.45647700038064,13.09121770950443,62.47079527411653,38.752342733691236,46.033246357522835,29.37062034762505
