from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65.988,SEN,SEN,43272.2243477175,0.7691666666666667,85.7915492957747,100,39.5928,0.0,0.0,46.15,39.5928,25203.64453125,670689.375,2262.98018567153,699437.03984463,48570.19267527,Asphalt Mix Resurfacing,165533.432763229,false,1.092322016118e7,10.923220161180001,85.79154929577464,97.02545470795529,28.53923124880316,239.58337095734373,25.675692644561355,6.376485753513482,0.5428004871977327,468.10592047715147,1.0947187675840615,1.473987295137809,0.26682388935620877,0.5918569042240472,0.0734729383688401,0.17935886613084842,0.016354670224164234,0.005388452937589937,0.006463221720428103,0.00398334980435633,0.004399641099306236,0.15788849012485973,0.13379678689259478,0.013304591759132192,0.04182356048464921,0.006693910898628979
6,7,141.0,23.7297901765288,17.8358342452276,22.6193327535725,1.3752938981171,313.9795,ESH,MAR,247859.897052163,4.241666666666666,74.0226719056975,100,188.3877,354.5779375,1254.69228,1509.19228,1443.07998,32235.525390625,58482.1328125,32.4488236023982,503479.040055281,34873.7333547209,Mixed Works,271039.549896426,false,8.51008623567049e7,85.10086235670491,74.02267190569745,97.0254546370933,71.11002310674546,124.71207810767301,16.79298038728193,3.6320560320943063,21.907425299926203,2.1500161841407452,75.99216629298931,0.41975712283948197,4.528586710525381e-7,2.0350897176298055e-6,2.035109979162562e-6,2.035091779122631e-6,2.0351522291632544e-6,2.035323853985659e-6,2.035279318373129e-6,2.035458763047e-6,2.0354189302667373e-6,2.0350924907791647e-6,2.035093395984664e-6,2.035178556068537e-6,2.0351102493679448e-6,2.035291851407456e-6
9,10,54.0,14.6314881012882,10.7149534878732,12.7784662586485,1.1652884984638,133.228,CIV,CIV,114944.963761028,1.9400000000000002,68.6742268041237,100,79.9368,0.0,0.0,116.4,79.9368,5606.072265625,363629.96875,466.997928277561,510762.060303799,35463.1390603906,Mixed Works,274960.242463544,false,3.6632403182933e7,36.632403182933004,68.6742268041237,97.02545467262051,24.144266737223127,145.880237630133,202.53152300781326,8.512310183999144,4.058142438703006e-6,5.897992455297951,0.8707227020144939,4.058146730893457e-6,4.058142858018157e-6,0.7267302331927403,4.0581292477943704e-6,0.662654882281946,6.026809393458533e-7,6.027066361853744e-7,6.027000344378056e-7,0.013283790747635351,0.014579286755433778,0.3061582489707358,0.26748965636638317,0.03689344418105881,0.1007096956816769,0.01987179404940277
18,19,226.0,282.935572437287,214.969758152951,277.139729660846,2.45168755311982,118.365,GHA,GHA,103948.594932945,1.4383333333333332,82.2931633835458,100,71.019,0.0,0.0,86.3,71.019,13171.91796875,1.3683005e6,1931.50108197058,638391.23193558,44330.7740276219,Asphalt Mix Resurfacing,151085.92489142,false,1.78832854997729e7,17.8832854997729,82.29316338354577,97.02545470073368,141.23662786237588,59.04866910323976,8.635933243130935e-6,30.248412159271954,27.322052738467928,1.4780137372451305,0.8557957824287655,10.310811677835726,335.0839801575887,1.7766042180040498,8.635939670749168e-6,3.9260609301718223,0.3192822948861545,0.07851166336785748,0.09810362276622164,0.03171992705919508,0.039373025013829346,0.7890840570426858,0.6807967127384701,0.0921924736781448,0.2372039428059336,0.049064702038074566
22,23,621.0,458.261077161331,333.467037266659,444.760666640768,2.66111297159803,161.349,BFA,GHA,135202.366530895,2.0208333333333335,79.8428041237113,100,96.8094,774.79909375,3649.74999,3770.99999,3746.55939,10741.59375,257034.828125,281.708329964345,529055.070752291,36728.8712046913,Mixed Works,284807.979754983,false,4.59534827254868e7,45.9534827254868,79.84280412371133,79.84280409373369,6.064102084845096e-7,6.448337011319757e-6,32.88924776785465,10.826084176291895,9.70519482057178,5.680240179771316e-7,1.0915146335566568,4.323812573204072,62.53616342296636,2.653242743711368,2.8893388055684065e-5,19.122254252814177,0.6109078657654555,0.13653807847394667,0.1726525370236861,0.053017749353995725,0.0816232700452332,3.104456242611353,2.6472930787401285,0.1990037596945661,0.8662474402920315,0.1026676869833963
6,27,20.0,1.23930529976941,0.925368801691143,0.756206529154033,0.0931783069186235,216.845,ESH,ESH,155608.120636636,3.353333333333333,64.6655069582505,100,130.107,0.0,0.0,201.2,130.107,39988.59375,90817.640625,84.9934120489332,559848.771132138,38839.7516467265,Mixed Works,301385.255126134,false,6.53538856478265e7,65.3538856478265,64.6655069582505,97.02545464102398,88.62809392512766,133.61384182079303,16.962913739445103,1.996092887472155,2.271941845099874e-6,7.365855979293788,2.2719405936359197e-6,2.1076216838181616e-5,1.8342453069432715e-6,18.554262050169186,0.42625822451976264,2.7901385581054132,0.15327001721850753,0.04442401588910079,0.054259159302419535,0.03976932648713077,0.044279326587371624,2.8124294031179113,2.274653167931568,0.14926073826980565,0.5522677891770318,0.06990574856658026
29,30,122.0,177.76766080283,89.5422654892807,106.894385907321,2.24985275768987,52.6905,DZA,DZA,42929.6448713745,0.7908333333333334,66.6265542676502,100,31.6143,0.0,0.0,47.45,31.6143,102480.53125,1.198788e6,4028.55676413176,869225.955019126,60361.6400951742,Mixed Works,467933.305785296,false,2.46556398484801e7,24.655639848480103,66.62655426765015,97.02545466839356,2.3004631431010257e-7,368.0672946716943,1.9080959644534738,2.51090324075858,1.2890075531407752e-7,0.44721824815431005,3.081938036298353,0.40648676393664573,0.35157189839620295,448.8409411521769,3.7884138144122877e-6,3.7883720121528815e-6,3.7882991122479125e-6,3.788192220444698e-6,3.788214220048141e-6,1.2931453919644905e-7,1.292651826435914e-7,1.2890010732678808e-7,1.2890057391508083e-7,1.2897615123911332e-7,1.2891246985284462e-7,1.290968344763073e-7
32,33,232.0,167.260814807195,123.137245899543,154.153705092079,2.22339420810946,89.1025,NGA,NGA,74234.8746220459,1.1008333333333333,80.9409538228615,100,53.4615,0.0,0.0,66.05,53.4615,11906.6416015625,1.316382875e6,2639.46161965566,647658.925245251,44974.8661543578,Asphalt Mix Resurfacing,153279.278974709,false,1.3657566954844e7,13.657566954844,80.94095382286147,97.02545469794235,2.2184844461289274e-6,190.56863006990108,7.1622694483015925,373.1973794322422,22.699494019254125,7.014923370629943e-7,0.3786980056981036,1.6440336665341957,6.897386513972896e-7,0.8694399747701899,1.7192440188583648e-6,3.565589254238001,6.48772519851644e-7,6.487709403043076e-7,6.48771446111319e-7,6.487678328346301e-7,6.487697895478482e-7,0.6701464915377439,0.5753211157862529,6.487715687835214e-7,0.19440339667070933,6.487704439249742e-7
32,34,379.666666666667,147.299205903054,108.942338961094,137.819666878634,2.16820040554697,54.628,NGA,NGA,46634.2796254837,0.6808333333333334,80.236964504284,100,32.7768,0.0,0.0,40.85,32.7768,8756.8994140625,335583.4375,1042.61070019813,576855.012688713,40056.1116940708,Asphalt Mix Resurfacing,136522.353002995,false,7.45794309984761e6,7.45794309984761,80.23696450428396,97.02545469648913,5.1177975784534505e-6,6.844027324315835e-7,12.696755349656883,7.87144599020146e-7,26.875616624126497,0.20725904817095048,7.871534364779819e-7,6.896841501763021,2.9094620704325003,7.871493603710571e-7,156.47173833296526,7.871461485903732e-7,3.844386531828314,0.6484650465765143,0.8463868982890437,0.14970696818892715,0.12529877076446216,7.871503930617015e-7,7.87151092005232e-7,0.2803968776093213,7.871588950799459e-7,0.15602871297384083
34,35,1109.0,1818.80458626645,1290.72462328753,1696.67422730691,3.25978604064397,51.7555,NGA,NGA,47081.9799942888,0.6108333333333333,84.7293315143247,100,31.0533,0.0,0.0,36.65,31.0533,4982.03271484375,358838.96875,1100.6403473017,541590.487618286,37607.5473885557,Asphalt Mix Resurfacing,128176.415402994,false,6.63383446738966e6,6.63383446738966,84.72933151432468,97.02545470576258,14.16507943867504,5.249123819231884e-7,6.164651137193738,65.2518038741331,1.0927120926551769e-5,9.253728031523871e-7,0.519923622852771,5.695652831925399,0.8288728376428733,1.115581837367666,145.29390570865175,3.9750746492063276,7.2328978128346995,1.1393146134272907,1.5013631362606499,0.28419227974778466,0.2568589281268072,0.8792657477606859,0.764416512578555,0.5769026690134264,0.2797831650310455,0.3201479397373854
