city_port,population,lon,lat,iso3c,city_country,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,nl,nl_cap,major_city_port,product,uj_orig,Lj_orig,Cj_orig,PCj_orig,uj,Lj,Cj,PCj,Lj_1,Cj_1,Yj_1,Pj_1,Lj_2,Cj_2,Yj_2,Pj_2,Lj_3,Cj_3,Yj_3,Pj_3,Lj_4,Cj_4,Yj_4,Pj_4,Lj_5,Cj_5,Yj_5,Pj_5,Lj_6,Cj_6,Yj_6,Pj_6,Lj_7,Cj_7,Yj_7,Pj_7,Lj_8,Cj_8,Yj_8,Pj_8,Lj_9,Cj_9,Yj_9,Pj_9,Lj_10,Cj_10,Yj_10,Pj_10,Lj_11,Cj_11,Yj_11,Pj_11,Lj_12,Cj_12,Yj_12,Pj_12,Lj_13,Cj_13,Yj_13,Pj_13,Lj_14,Cj_14,Yj_14,Pj_14,Lj_15,Cj_15,Yj_15,Pj_15,Lj_16,Cj_16,Yj_16,Pj_16,Lj_17,Cj_17,Yj_17,Pj_17,Lj_18,Cj_18,Yj_18,Pj_18,Lj_19,Cj_19,Yj_19,Pj_19,Lj_20,Cj_20,Yj_20,Pj_20,Lj_21,Cj_21,Yj_21,Pj_21,Lj_22,Cj_22,Yj_22,Pj_22
TRUE,3223.755,-17.446713,14.692814,SEN,"Dakar - Senegal",2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1726.64797008975,0.00515427997478229,TRUE,6,929.569887511171,3223.755,1407966.60169981,1.48987475865336,986.376733204845,3223.755,1532475.20683577,1.45247755915276,0,231.427665192698,0,512.186609272991,0,1265.14383271454,0,165.048583243333,0,229.214714481579,0,515.477927059392,0,46.5962789621136,0,1490.97688833309,0,17.5687794917909,0,2856.78358181902,3223.755,279963.210423191,315941.70196921,4.51132822726469,0,16.3945244880583,0,2991.61603752942,0,7.6661480272994,0,4965.77382926344,0,6.51513846377729,0,5534.63904489559,0,2.34619401974503,0,10934.4208926054,0,3.24571536504121,0,8807.07000179601,0,3.92565157419405,0,7758.25235900264,0,1.85163065686478,0,12803.7001296201,0,0.894950021541572,0,20789.2687728327,0,1.25217720099796,0,16618.6040729992,0,0.4862017614005,0,31224.3963217508,0,0.502795550397375,0,30533.5606466867,0,1.3904728328464,0,15497.5625269558,0,1.48159347058085,0,14855.446136002,0,0.792358155260114,0,22547.1012168257,0,0.867549508125453,0,21224.7324290477,0,0.607745919377166,0,26908.5544816411
FALSE,505.227,-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,396.270565730296,0.00662799838393238,FALSE,2,684.61401095553,505.227,142544.605029538,1.69855490489415,757.009577572405,505.227,164556.831022426,1.62693443250153,0,225.671434749145,0,131.804306640514,505.227,11066.5415367677,26420.1359795328,9.83798256538826,0,221.136844599268,0,133.600040140738,0,11.7920764253577,0,943.019060146633,0,3.01028171450466,0,2343.37918049078,0,217.190228021028,0,135.213630360369,0,2.75862140259235,0,2483.81508276868,0,1.11909752386387,0,4532.4745165036,0,0.932445549010766,0,5118.76282693675,0,0.311862720082527,0,10623.5994028458,0,0.438501653307694,0,8464.47131242402,0,0.536858375447483,0,7396.18057270761,0,0.243915111847471,0,12514.7310909353,0,0.115835628104471,0,20559.8159349563,0,0.16314464437565,0,16363.0947996083,0,0.0624550730697043,0,31036.2218076853,0,0.0646065565784349,0,30343.3084038807,0,0.18162465023728,0,15233.4217790258,0,0.193851224028108,0,14585.9581267587,0,0.102362330256947,0,22326.4951192985,0,0.112232198535274,0,20997.5688460343,0,0.0782445211706132,0,26706.1552547518
TRUE,187.932,-16.076402,14.138908,SEN,"Kaolack - Senegal",2278.7640345833,45.3761239685572,428252682.54731,8527625.72965889,,,,0,314.559278847214,0.00270314100000742,FALSE,1,572.783225038113,187.932,41097.3922201054,1.8334741905264,655.270243842582,187.932,49806.4877491902,1.73074587511902,187.932,3061.58346479698,8527.62572965889,11.1120242619751,0,338.401287313614,0,48.2468813178824,0,23.7882225185514,0,283.258263588194,0,9.10061317727705,0,537.497951471382,0,1.10622678701892,0,2190.42205174904,0,6.45008559326382,0,676.156039473928,0,0.5875278027269,0,3339.93720386054,0,0.598131489224648,0,3300.34599654439,0,0.415737372602672,0,4206.08332473753,0,0.0928014749496411,0,11430.204422181,0,0.162705962133708,0,7861.18961654907,0,0.184179396731749,0,7237.632919543,0,0.0828974897773203,0,12323.3749786561,0,0.0388166873120165,0,20436.7392558981,0,0.0548635187168147,0,16226.8720378927,0,0.0208048219519449,0,30972.8555990346,0,0.0215195148561169,0,30283.2349451229,0,0.0587007112895486,0,15511.7813444702,0,0.0637920984079761,0,14675.0410431028,0,0.0340192977877555,0,22315.5204562959,0,0.0371633068137279,0,21038.4795183862,0,0.0260265911816958,0,26677.5365241166
FALSE,78.8,-13.6763992,13.7135201,SEN,"Khénifra - Morocco",2287.6685,28.5775553827832,180268277.8,2251911.36416331,,,,0,50.7595320907092,0.00307485089013125,FALSE,1,557.650278627026,78.8,16585.4704307058,1.85463472366263,622.317898902292,78.8,19399.9115390846,1.76944390876693,78.8,1756.29839934775,2251.91136416332,8.77615792125372,0,42.9510320995605,0,104.164779052857,0,4.61799752283628,0,460.681567714537,0,13.8024759241935,0,222.023341359953,0,0.451604766229418,0,2170.35589491981,0,1.00267454300491,0,1275.25384215781,0,0.246695825674502,0,3247.84603025793,0,0.194976065259234,0,3799.40653426994,0,0.16035443692977,0,4328.28629059835,0,0.0379028127796719,0,11321.9788596317,0,0.0660433654753496,0,7818.98720371214,0,0.0769081952517805,0,7064.06824683581,0,0.0338423727401494,0,12210.3870377926,0,0.0157334353729083,0,20346.4006812426,0,0.0222988325813134,0,16125.5752135261,0,0.00840783161366013,0,30896.8328191166,0,0.00869786029347832,0,30206.124961191,0,0.0239231826743305,0,15387.1195779109,0,0.0260081829716969,0,14553.3606540377,0,0.0137838798882972,0,22222.2986464955,0,0.0150698159869367,0,20939.4209138833,0,0.0105291980827286,0,26593.3532484161
FALSE,10.832,-10.8695793,12.6057196,MLI,"Kawambwa - Zambia",2285.3071,24.4574447781555,24754446.5072,264923.041836981,,,,0,1.05133011269996,0.000656997328723453,FALSE,1,193.200788554602,10.832,501.490885412984,2.92114114482864,225.080080236149,10.832,623.760067043074,2.73606357725481,10.832,10.4739487362244,264.92304183698,41.7251206100892,0,1.5812337331313,0,147.1658973317,0,0.144372657853174,0,725.79604198209,0,6.90759165843987,0,55.0706402703965,0,0.0270035236404435,0,2219.17186607874,0,0.0288027427766675,0,2125.76539380915,0,0.0125723606548786,0,3694.2533526577,0,0.0120826735240328,0,3793.40491648441,0,0.0106972970985059,0,4114.2296043366,0,0.00223466776117975,0,11685.9113556459,0,0.00426358355351309,0,7596.63705941127,0,0.00486855071164974,0,6953.52090509753,0,0.00211849106852852,0,12109.3306640599,0,0.000977572492624904,0,20278.628614262,0,0.0013883047759358,0,16050.2333754365,0,0.000520805768466446,0,30857.024082477,0,0.000538761715071896,0,30167.5526145422,0,0.00146438989073905,0,15489.3579181359,0,0.00160492760949462,0,14571.3882901241,0,0.000853323812565898,0,22202.1646980302,0,0.000931582022334556,0,20940.6663604406,0,0.000651912841638935,0,26567.1441792695
TRUE,4552.105,-8.002662,12.639193,MLI,"Bamako - Mali",2286.20141850059,45.3510168389582,10407028908.1636,206442590.507706,,,,0,1059.27660221482,0.00292777249408515,TRUE,4,651.358197299125,4552.105,1196140.95778326,1.7351931820376,692.839121824558,4552.105,1306429.44687946,1.68988345044624,0,1083.29367361241,0,191.462292818409,0,980.639601339274,0,204.601010844469,0,82.0403757552516,0,1069.6186485139,4552.105,191941.967369476,206442.590507706,6.0692370275161,0,26.3615723424285,0,2279.99128246242,0,15.7850238656446,0,3209.3511025349,0,10.8375440679984,0,4123.76089271715,0,12.0210471979167,0,3848.45008856957,0,11.5323395312618,0,3956.42052763839,0,2.1791072152432,0,12015.1259456123,0,4.50011870005106,0,7409.08789845175,0,5.06231714413371,0,6849.85156375192,0,2.17847574319362,0,12017.4477065127,0,0.998423444290896,0,20216.4182130696,0,1.42056587369264,0,15981.092861995,0,0.530427599478702,0,30819.8119427734,0,0.548708961693661,0,30131.4032594627,0,1.47621685512292,0,15576.885235899,0,1.62953016941237,0,14583.8589847216,0,0.868709490909192,0,22181.845827649,0,0.947185142837831,0,20939.0741658302,0,0.663708694848345,0,26541.7195091223
TRUE,1440.712,-15.978542,18.085588,MRT,"Nouakchott - Mauritania",3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,1260.6454068121,0.0652106403689198,FALSE,3,703.830458998999,1440.712,422878.966682442,1.67852257429673,781.893385298816,1440.712,491442.245729621,1.6045389562994,0,313.027651584633,0,216.742188858203,0,935.499762100734,0,104.464677865784,1440.712,53324.4743812861,72693.0668148991,7.05311342628121,0,25.8875574781001,0,1141.83812473983,0,11.4105394880315,0,1971.48951396433,0,52.8772626578254,0,709.282558615086,0,18.6510231452368,0,1420.79084368858,0,2.46957177000129,0,5469.12045922751,0,2.3002955426484,0,5734.24395012487,0,1.07533931281272,0,9519.95527674125,0,1.20901597002937,0,8804.61895309951,0,1.6052241552289,0,7288.5555159922,0,0.71651062360111,0,12479.1067833904,0,0.340325414571651,0,20499.1412902313,0,0.480170574575252,0,16295.5201895929,0,0.183478593463672,0,30946.270843115,0,0.189866779216978,0,30248.1813462109,0,0.558803366050462,0,14728.5247195516,0,0.585645600412783,0,14274.9742531984,0,0.302885827535449,0,22155.3843538403,0,0.33375577593561,0,20767.2694017948,0,0.230652561683711,0,26568.0533949794
TRUE,217.732,-13.203346,27.153675,ESH,"Laâyoune - Morocco",7166.58209753815,43.2531834575172,1560394253.26118,9417602.14057214,,,,0,1006.13597651292,1.52940924551656,FALSE,2,654.096490214538,217.732,57556.5981977563,1.73207623498952,767.057448162112,217.732,72265.7250113568,1.61776646666024,0,223.464431901058,0,76.2193311369617,217.732,5471.17701411085,9417.60214057213,9.03962111049174,0,95.5657531914856,0,134.277283645729,0,2.601181656805,0,1483.96485852321,0,3.13519544557093,0,1310.27058700853,0,1.68961503874396,0,1978.54330783053,0,15.1237114336562,0,458.949763384158,0,0.266879857275453,0,6771.11527206562,0,0.271571980270682,0,6692.89634573429,0,0.217542960754024,0,7759.62467061105,0,0.163181654600299,0,9399.17747895144,0,0.24388926446835,0,7190.22171787146,0,0.10686588794092,0,12463.6335820996,0,0.0509306092778604,0,20427.638202062,0,0.0720049706687528,0,16216.6976604374,0,0.027488707641568,0,30815.403365656,0,0.0284625721673756,0,30108.4206682314,0,0.0908079784373309,0,13892.7450772432,0,0.0919829869983382,0,13774.1793274926,0,0.0459253673506118,0,21886.1302366524,0,0.0510530113130382,0,20394.9743150746,0,0.0347568618732451,0,26353.8275541521
FALSE,73.209,-11.1610899,28.4597492,MAR,"Kukawa - Nigeria",6295.70213058728,39.2491173607986,460902057.278165,2873388.6328667,,,,0,143.6101930679,0.0868098495387022,FALSE,1,285.986237180917,73.209,5935.4869114561,2.46917173351984,447.629650006323,73.209,11256.8997186947,2.03780471589552,73.209,331.444886521969,2873.3886328667,21.3714609907021,0,92.7995240469895,0,49.9357137624588,0,2.75583278856181,0,520.722710420159,0,0.434640157562822,0,1783.83711114221,0,1.08823542582004,0,967.44552786718,0,0.184520997092953,0,3157.99350606983,0,28.6398635655709,0,109.343875996882,0,0.0499566417815428,0,7545.93286329738,0,0.0528019857918151,0,7272.35253866486,0,0.057080881041821,0,6904.22044017663,0,0.0339840492494457,0,9755.69793469595,0,0.0536333254292831,0,7197.00731634604,0,0.0234409428543267,0,12496.5954395352,0,0.0112193518459032,0,20423.4880588434,0,0.0158627642138182,0,16212.7187378124,0,0.00606539029597921,0,30775.3211081806,0,0.00628187699805576,0,30064.1416368449,0,0.0208581610448137,0,13508.0009829908,0,0.0207374438537786,0,13560.3722706089,0,0.0101870355703142,0,21780.9363572113,0,0.0113733276056049,0,20238.7364514698,0,0.00768920035612628,0,26273.6842381177
TRUE,4219.891,-7.583329,33.53329,MAR,"Casablanca - Morocco",9656.635,70.9405986874118,40749947126.785,299361593.935621,MACAS,Casablanca,AI,2434.0279715,4891.48252148204,0.0266118191390691,TRUE,7,876.217892529314,4219.891,1693792.59481221,1.52809783620134,995.934127720002,4219.891,2033832.70152298,1.44648742313366,0,1045.98478868613,0,225.341527215478,0,1853.11193873585,0,153.906528792612,0,55.8223938296805,0,1589.71464444385,0,24.6088580175026,0,2744.50381518063,0,290.679730666087,0,529.153467639074,0,8.96484568117942,0,5380.58628743103,4219.891,331680.166766687,389420.628881121,4.84594496023022,0,4.0071382280399,0,9203.83017466845,0,4.42933873212681,0,8609.25457072476,0,8.66627367122824,0,5503.46927553193,0,3.22232369005878,0,10643.3588033168,0,5.56124924490899,0,7397.3569018047,0,2.47138047017,0,12702.7691499779,0,1.20352961770126,0,20522.02871833,0,1.69638423777925,0,16324.5791368779,0,0.65527940800555,0,30778.0049749504,0,0.67893258361922,0,30058.9434383916,0,2.42893669662397,0,12850.3221417975,0,2.32095816888299,0,13245.8531864432,0,1.10974578334645,0,21662.5283227302,0,1.24932268856948,0,20017.4335027949,0,0.834386872657165,0,26198.7057653682
