from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,0,157.522826532098,65.988,0.769166666666667,39.5928,0,0,46.15,165533.432763229,10.92322016118,85.7915492957746,87.8967597911492,115.713832596351,632.571916357277,114.607357240792,23.2981394810576,8.78438974589586,1161.64489241309,8.19726224402954,3.83307401364994,3.25756923188886,1.17309700987261,1.62285768252073,1.96282578709717,0.925815328432474,0.447475010770833,0.626088600499045,0.243100880700277,0.251397775198717,0.695236416423271,0.740796735290496,0.396179077630101,0.433774754062772,0.303872959688615
8,9,0,17.8358342452276,313.9795,4.24166666666667,188.3877,354577.9375,1254.69228,1509.19228,271039.549896426,85.1008623567049,74.0226719056975,87.8967597801885,72.46512107249,127.742395226849,81.2622965643392,5.7057945807769,10.0057467151235,16.8320694193315,90.2792078502804,3.23104295435468,2.44461220926812,3.49832546406724,1.071021205304,0.0266470625725963,0.074674181447834,0.00573768412066124,0.00692967891393664,0.036775030975004,0.041586538221162,0.804237547923742,0.445198702371107,0.136369545309898,0.217974837956278,0.086129078073863
12,13,0,8.50068934135928,87.814,1.36916666666667,52.6884,0,0,82.15,310891.644542143,27.3006388738237,64.1368228849665,87.8967597709816,25.7947038342373,7.58670683131701,63.8544161255216,15.7018357378451,1.27558297567107,9.01760730572177,3.803206403278,41.6046964924653,4.95960081730149,1.28249617319422,0.975757692808076,0.577732144283617,0.115340458909672,0.0749979855978844,0.108201543522849,0.0605910833616565,0.064912606629624,0.53566679252012,0.383699436716879,0.146628219589767,0.20066396757151,0.100818545896997
13,14,0,10.7149534878732,133.228,1.94,79.9368,0,0,116.4,274960.242463544,36.632403182933,68.6742268041237,87.8967597752074,24.058273851503,356.087268878706,415.334326666067,13.0324952142527,0.866818585363337,6.74035103213428,3.23928294330806,81.7148119339698,2.45962652850627,1.15317590916007,0.468137547667457,0.865897884806446,0.272537420090868,0.144426430421597,0.205640210621062,0.094327393300936,0.0993861756095412,0.54756756959421,0.441351441546973,0.192202934682161,0.242230954091094,0.138252534528124
12,15,0,3.81274084456477,90.895,1.52833333333333,54.537,0,0,91.7,465925.111398882,42.3502630006014,59.4732824427481,87.8967597666384,8.72145238643561,0.68166765010522,8.68738973086012,11.8938763329534,3.83547693568823,11.2886979214031,4.18790333025776,39.8102134301952,11.3303626694694,1.36224220286987,1.97447524027887,0.0353985410783121,0.197093173143209,0.0645299581562433,0.0883675383965164,0.00927173425836113,0.00677507450173423,0.453345737233854,0.232444339672953,0.0454838558236057,0.10145702393248,0.0199324168617264
15,16,0,41.2438203598992,167.5675,2.685,100.5405,0,0,161.1,299174.881902869,50.131987023259,62.4087523277467,87.8967597693722,0.352908285702624,354.834530445855,11.9934676814064,8.13235938418504,3.90718675758664,6.40713176978169,2.7835212731467,77.6564833088483,9.73624464752879,0.957556676209763,1.3692394731766,0.152771115219388,0.0718402851244433,0.0146233550213216,0.0185074335075553,0.00987679013472501,0.0121838334383738,0.354762597709037,0.210392814176845,0.0584029708624435,0.0996681525738065,0.0343669414034034
16,17,0,403.573245027922,116.749,1.39583333333333,70.0494,0,0,83.75,146524.520097305,17.1065911968403,83.6410746268657,87.8967597891464,85.2812274111709,135.562205247993,14.8786137843641,19.0449521661116,0.284960876932642,5.06628648355961,3.40418581032707,564.329184026345,5.43409150292478,1.33317049819368,0.754975871995138,1.99628083618502,0.79854039869289,0.38489205273341,0.545387555738222,0.220719981358881,0.229802502348782,0.812123606605414,0.778325704713562,0.390485305247797,0.451268430002202,0.292613384513256
10,18,0,222.063429687399,93.252,1.11,55.9512,0,0,66.6,194213.946955775,18.1108389815199,84.0108108108108,87.8967597894907,22.5050895877213,840.637816748902,13.1939113066404,4.69434028183017,170.513091054858,6.42827291219177,909.06442723715,2.3562926165979,2.0323803848179,6.31829824150229,1.0637857732446,0.415258971408926,0.176269081366146,0.0325857890436559,0.050730305469281,0.0209667463214572,0.0255955850126059,0.897422891238732,0.433764710630416,0.118233474661858,0.207585327636286,0.0706742788689751
6,20,0,63.8881073432384,234.8035,2.85416666666667,140.8821,0,0,171.25,180556.475158965,42.395292314988,82.2669197080292,87.8967597878666,62.714552511106,372.880308373611,4.59157824181924,330.996022322263,5.0128313962696,6.12787361771532,1.58886435406516,2.48401148153291,0.879184285701277,0.483428172281857,1.10324433137632,2.02700400379177,0.784272162561476,0.358892403858354,0.511549938657686,0.190571758262442,0.197128690559777,0.510795747825545,0.588063835908533,0.312163206588457,0.339726724341615,0.238322851184178
20,21,0,38.4932302955194,82.3785,0.984166666666667,49.4271,0,0,59.05,136137.78109061,11.2148261995728,83.7038103302286,87.8967597892048,185.41479262449,79.98977600785,4.74964519411022,39.4086560200135,3.58061210526374,12.3001201591309,10.225732950149,3.85892277679895,8.4591154482855,2.84054674449471,3.96379707162175,2.40260421962001,1.13794613791413,0.457221770782726,0.649343680861849,0.190324052677117,0.191144122131175,0.562060123187664,0.0267871352814097,0.186621049051898,0.092471634299612,0.173294689405586
21,22,0,22.0450554251194,114.916,1.35583333333333,68.9496,0,0,81.35,100350.467464677,11.5318743191708,84.7567301782422,84.7567314689123,8.47053356214184,12.983119131729,2.91010897842624,10.7470439118661,2.30000198023133,6.64880760158722,4.33616555527723,0.594055023308969,2.73813741716148,1.16320938464066,2.05427906512968,2.24377042019008,0.868397919179573,0.361660688264686,0.517962295484016,0.167643440886496,0.170914222687269,0.0414909847180969,0.270480013110421,0.219980337337467,0.18980126997972,0.181238932749017
22,23,0,17.0350852531719,202.532,2.97333333333333,121.5192,536718.759375,3337.916625,3516.316625,258824.84443711,52.4203133935368,68.1161434977578,68.1161434547607,1.63089912239256,11.1852391571969,1.43964789072436,13.5154454042587,1.00476163298441,2.93807131852219,3.23903842070404,1.31045129667351,4.67247323402577,1.12152510318064,1.85975122469237,0.151532611454184,0.173229195843089,0.0552261585814753,0.0746196911030425,0.00697820709559457,0.00465870360469704,0.419533344406333,0.229597695007265,0.0447916321880784,0.0963657776064376,0.0200061421741231
24,25,0,415.247728076262,59.586,0.720833333333333,35.7516,0,0,43.25,140262.363778957,8.35767320813293,82.6626589595376,87.8967597882351,126.03790569136,95.2483745442276,3.39752308743295,278.163814636197,1.98370258831537,5.37857156179044,4.01868929234183,4.14814579172425,3.54814833890936,1.38055075596442,3.40059117619282,1.66278217297121,0.880730817166996,0.356206291285492,0.506542875260009,0.15474167255585,0.156366866064716,0.254845679656215,0.105102252295806,0.171733803650671,0.115828337258429,0.15167951960522
6,26,0,411.232997562783,161.441,1.94666666666667,96.8646,0,0,116.8,179829.101044826,29.0317899017778,82.9320205479452,87.896759788486,240.199230770224,89.0314071801959,10.1971156667102,368.977363111349,4.65476233882233,5.80413992186786,6.8181441132611,12.3838701234291,9.39652367233081,2.15861989262061,3.01294724151977,0.605992100000546,0.510171081214018,0.189976895691233,0.265957383739207,0.0604614136394651,0.0580218131827941,0.634016836140979,0.245307704399547,0.000776615327465713,0.084139667295432,0.0247777182943198
26,27,0,442.198970451893,209.9545,2.48,125.9727,0,0,148.8,139216.041029745,29.2290342863796,84.6590725806452,87.8967597900944,59.8449030169497,178.577473749801,5.35270661675588,63.511644444261,4.47414218387867,12.6300946963058,5.99638357489873,3.45052205649975,9.60336430496887,1.82439488447965,3.41193252125044,1.6409804005771,0.87848880691945,0.35985888678356,0.508610753313624,0.15359763238563,0.154676695257157,0.342516207387414,0.06612070376807,0.159796900957971,0.0944266587950985,0.144769793179873
27,28,0,367.754681427147,105.2145,1.24416666666667,63.1287,536718.759375,3337.916625,3412.566625,141679.646456918,14.9067531621414,84.5662424648359,84.566242412675,72.4076354591005,56.8229889232248,2.89345461654827,3.54640614111917,3.15860210851245,6.08501168521343,3.51225963978941,0.631066167357156,7.75991245660458,1.15055625446448,2.50776824716124,0.82354286273681,0.52926198870185,0.21247922346132,0.299725631146401,0.0873581757587651,0.0875119083944536,0.265941679712374,0.00987407847986475,0.0805249413458916,0.0340509368496406,0.0771615653461927
28,29,0,81.6496396042955,65.656,1.26833333333333,39.3936,0,0,76.1,494073.525045229,32.4388913603696,51.7655716162944,51.7655715859937,18.7292917441981,20.932919792333,1.16000164561748,6.43954709253436,2.26719080708307,1.99507251585108,1.63006613458359,3.63843370961223,6.94997393944392,0.578493501458963,1.08176907389892,0.113752207537382,0.0673874995010865,0.0183239113871924,0.0243472377750987,0.00181843159436972,0.00317740093782174,0.2211791784701,0.128395774370571,0.0311459800834488,0.0577394503269412,0.0168035666527822
