city_port,population,lon,lat,iso3c,city_country,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,nl,nl_cap
TRUE,3223755,-17.446713,14.692814,SEN,Dakar - Senegal,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417263.262,1726.64797008975,0.00515427997478229
FALSE,505227,-17.044529,14.7029696,SEN,Yaounde - Cameroon,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,"","","",0,396.270565730296,0.00662799838393238
TRUE,187932,-16.076402,14.138908,SEN,Kaolack - Senegal,2278.7640345833,45.3761239685572,428252682.54731,8527625.72965889,"","","",0,314.559278847214,0.00270314100000742
TRUE,4552105,-8.002662,12.639193,MLI,Bamako - Mali,2286.20141850059,45.3510168389582,10407028908.1636,206442590.507706,"","","",0,1059.27660221482,0.00292777249408515
TRUE,1440712,-15.978542,18.085588,MRT,Nouakchott - Mauritania,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334524,1260.6454068121,0.0652106403689198
TRUE,217732,-13.203346,27.153675,ESH,Laayoune - Morocco,7166.58209753815,43.2531834575172,1560394253.26118,9417602.14057214,"","","",0,1006.13597651292,1.52940924551656
FALSE,73209,-11.1610899,28.4597492,MAR,Kukawa - Nigeria,6295.70213058728,39.2491173607986,460902057.278165,2873388.6328667,"","","",0,143.6101930679,0.0868098495387022
TRUE,4219891,-7.583329,33.53329,MAR,Casablanca - Morocco,9656.635,70.9405986874118,40749947126.785,299361593.935621,MACAS,Casablanca,AI,2434027.9715,4891.48252148204,0.0266118191390691
TRUE,310768,-6.600167,5.783308,CIV,Soubre - Cote d'Ivoire,3216.67761193904,26.8544558285881,999640468.107073,8345505.52893867,"","","",0,147.148333255437,0.00354645698741133
TRUE,390654,-6.633194,4.750108,CIV,San-Pedro - Cote d'Ivoire,3573.43717303907,31.4114659961222,1395977525.39641,12271014.8372491,CISPY,San-Pdro,AI,2312502.02864,385.16868330869,0.00802107382333194
TRUE,315730,-5.666994,11.316457,MLI,Sikasso - Mali,2285.3071,34.5993127669643,721540010.683,10924041.0199136,"","","",0,133.78056092596,0.00118798858226447
FALSE,0,-5.1606898,9.9698601,CIV,"",3219.81194498956,23.6325528252283,0,0,"","","",0,56.7060967103695,0.00329708306191172
FALSE,39005,-5.0414901,6.5430398,CIV,Chipata - Zambia,3289.988,39.0763581540411,128325981.94,1524173.34979837,"","","",0,61.5518498777192,0.00706712648203417
TRUE,9022419,-4.034,5.317569,CIV,Abidjan - Cote d'Ivoire,3473.84868051719,53.7001420652593,31342518338.2232,484505182.072294,CIABJ,Abidjan,AI,3248845.43344,2652.43678485754,0.0105771039355387
TRUE,1007037,-5.803895,35.77671,MAR,Tangier - Morocco,7897.3692983517,60.3686019577755,7952943086.1042,60793415.8097524,MAPTM,Tanger Med,AI,29213268.30742,3893.02000170325,0.0316749678968683
TRUE,903887,-4.283237,11.183756,BFA,Bobo-Dioulasso - Burkina Faso,1563.71297280047,35.5323045529694,1413419827.8457,32117188.1654698,"","","",0,641.142267399361,0.00307625674894542
TRUE,2497171,-1.527486,12.368619,BFA,Ouagadougou - Burkina Faso,1561.522,38.4954008979503,3899387454.262,96129598.7557355,"","","",0,803.668547024356,0.00230084520222667
FALSE,104212,-1.9408599,7.58079,GHA,Nnewi - Nigeria,3953.2102,38.4258396252504,411971941.3624,4004433.5990266,"","","",0,151.471602733529,0.00500140858819785
TRUE,6898949,-1.625058,6.70004,GHA,Kumasi - Ghana,3953.2102,55.7015155157662,27272995556.0798,384281914.76598,"","","",0,2228.69502875667,0.00908451982746331
TRUE,3048022,-0.199998,5.549954,GHA,Accra - Ghana,3953.2102,68.5172293751128,12049471660.2244,208842022.51439,GHTEM,Tema,QQ,7407893.36449,3879.83688217687,0.0141241957021724
TRUE,200799,1.180247,6.146898,GHA,Aflao - Ghana,2282.28401450628,48.0516778289707,458280347.828847,9648728.85637949,TGLFW,Lome,AI,6445382.41344,776.737709430374,0.00420006115054925
TRUE,181256,-0.433167,12.249994,BFA,Pouytenga - Burkina Faso,1596.38093961074,25.259614458178,289353623.590084,4578456.67823152,"","","",0,46.9518498787844,0.000728272887939396
TRUE,100737,-0.233454,11.049927,GHA,Bawku - Ghana,3443.348943435,35.8736219329596,346872642.514812,3613801.05266056,"","","",0,196.58173375228,0.00432313586375066
FALSE,33327,1.14132,9.47579,TGO,Cacongo - Angola,1373.44357100469,23.4389778775196,45772753.8908734,781150.815724097,"","","",0,25.8515800778119,0.000821903218981344
TRUE,284888,2.239945,7.973456,BEN,Glazoue - Benin,1015.3595,27.3656151146396,289263737.236,7796135.35877944,"","","",0,13.0189448575393,0.000741030872215241
TRUE,2212016,2.433279,6.366683,BEN,Cotonou - Benin,2200.58905910164,44.0376690894759,4867738208.15776,97412028.628626,BJCOO,Cotonou,AI,4835490.66433,900.815994489005,0.00282090770656484
FALSE,57035,-11.6982899,26.7553997,ESH,Malakal - South Sudan,6390.125709182,25.1492270818786,364460819.823195,1434386.16661495,"","","",0,291.689976306242,4.56520660353076
FALSE,0,-0.78598,32.4087105,DZA,"",13888.5151898265,38.4111599953153,0,0,"","","",0,90.5460443589662,0.0856040411612633
FALSE,589091,2.7488298,36.4587784,DZA,Marka - Somalia,13822.566,60.3318007230112,8142749227.506,35540920.8197194,"","","",0,1717.28803012931,0.0210044205888428
