city_port,population,lon,lat,iso3c,city_country,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,nl,nl_cap
TRUE,3223755,-17.446713,14.692814,SEN,Dakar - Senegal,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417263.262,1726.64797008975,0.00515427997478229
FALSE,505227,-17.044529,14.7029696,SEN,Yaounde - Cameroon,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,"","","",0,396.270565730296,0.00662799838393238
TRUE,187932,-16.076402,14.138908,SEN,Kaolack - Senegal,2278.7640345833,45.3761239685572,428252682.54731,8527625.72965889,"","","",0,314.559278847214,0.00270314100000742
FALSE,78800,-13.6763992,13.7135201,SEN,Khenifra - Morocco,2287.6685,28.5775553827832,180268277.8,2251911.36416331,"","","",0,50.7595320907092,0.00307485089013125
FALSE,10832,-10.8695793,12.6057196,MLI,Kawambwa - Zambia,2285.3071,24.4574447781555,24754446.5072,264923.041836981,"","","",0,1.05133011269996,0.000656997328723453
TRUE,4552105,-8.002662,12.639193,MLI,Bamako - Mali,2286.20141850059,45.3510168389582,10407028908.1636,206442590.507706,"","","",0,1059.27660221482,0.00292777249408515
TRUE,1440712,-15.978542,18.085588,MRT,Nouakchott - Mauritania,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334524,1260.6454068121,0.0652106403689198
TRUE,217732,-13.203346,27.153675,ESH,Laayoune - Morocco,7166.58209753815,43.2531834575172,1560394253.26118,9417602.14057214,"","","",0,1006.13597651292,1.52940924551656
FALSE,73209,-11.1610899,28.4597492,MAR,Kukawa - Nigeria,6295.70213058728,39.2491173607986,460902057.278165,2873388.6328667,"","","",0,143.6101930679,0.0868098495387022
TRUE,4219891,-7.583329,33.53329,MAR,Casablanca - Morocco,9656.635,70.9405986874118,40749947126.785,299361593.935621,MACAS,Casablanca,AI,2434027.9715,4891.48252148204,0.0266118191390691
FALSE,241969,-7.59407,7.3604698,CIV,Pikine - Senegal,3331.50044575431,31.6783867627629,806119831.358724,7665187.56659899,"","","",0,130.207651159472,0.00485771230024116
FALSE,0,-6.59448,6.48704,CIV,"",3289.988,30.2351215412896,0,0,"","","",0,54.7928477755145,0.00248220872141162
TRUE,310768,-6.600167,5.783308,CIV,Soubre - Cote d'Ivoire,3216.67761193904,26.8544558285881,999640468.107073,8345505.52893867,"","","",0,147.148333255437,0.00354645698741133
TRUE,390654,-6.633194,4.750108,CIV,San-Pedro - Cote d'Ivoire,3573.43717303907,31.4114659961222,1395977525.39641,12271014.8372491,CISPY,San-Pdro,AI,2312502.02864,385.16868330869,0.00802107382333194
TRUE,277044,-5.93669,6.13259,CIV,Gagnoa - Cote d'Ivoire,3292.32142843847,37.4502145097444,912117897.820308,10375357.2286376,"","","",0,147.61113843632,0.00446771016597875
FALSE,0,-4.6909499,5.9060397,CIV,"",3289.988,32.1998889870533,0,0,"","","",0,36.0624647505138,0.00248217160255806
TRUE,9022419,-4.034,5.317569,CIV,Abidjan - Cote d'Ivoire,3473.84868051719,53.7001420652593,31342518338.2232,484505182.072294,CIABJ,Abidjan,AI,3248845.43344,2652.43678485754,0.0105771039355387
TRUE,1891455,-6.841593,34.020894,MAR,Rabat - Morocco,7891.94605770258,67.9275739994679,14927260830.5718,128481949.479164,"","","",0,4017.05729310472,0.0275923024533232
TRUE,1007037,-5.803895,35.77671,MAR,Tangier - Morocco,7897.3692983517,60.3686019577755,7952943086.1042,60793415.8097524,MAPTM,Tanger Med,AI,29213268.30742,3893.02000170325,0.0316749678968683
TRUE,240936,-6.26652,13.449454,MLI,Segou - Mali,2285.3071,34.5068161376911,550612751.4456,8313934.25295074,"","","",0,241.811001771989,0.00158693755031264
FALSE,89799,-5.7609501,12.9448795,MLI,Beni Mellal - Morocco,2275.85166218126,32.5280080868355,204369203.412215,2920982.59818974,"","","",0,16.7225402965447,0.000676401025984886
FALSE,62939,-4.88414,13.22997,MLI,Techiman - Ghana,2285.3071,27.7750123769379,143834943.5669,1748131.5039921,"","","",0,51.6465788735262,0.00153763645236343
FALSE,63617,-3.4726,12.4589195,BFA,Al Marj - Libya,1561.522,23.9784948796488,99339345.074,1525439.90875862,"","","",0,52.012843808386,0.00207979294661069
FALSE,41911,-2.0190399,12.1964092,BFA,Sakoueba - Mali,1578.17761345313,20.6985723020877,66143001.9574339,867497.863752799,"","","",0,3.08275012433661,0.000210731813399162
TRUE,2497171,-1.527486,12.368619,BFA,Ouagadougou - Burkina Faso,1561.522,38.4954008979503,3899387454.262,96129598.7557355,"","","",0,803.668547024356,0.00230084520222667
FALSE,95222,-7.4854398,11.42488,MLI,Souk Ahras - Algeria,2285.3071,32.0476990885096,217611512.6762,3051646.00260606,"","","",0,74.2612750981283,0.00200665793076017
TRUE,315730,-5.666994,11.316457,MLI,Sikasso - Mali,2285.3071,34.5993127669643,721540010.683,10924041.0199136,"","","",0,133.78056092596,0.00118798858226447
FALSE,33422,-4.8452396,10.9798899,BFA,Tiko - Cameroon,1561.522,23.9344297130372,52189188.284,799936.50986913,"","","",0,7.1856978641748,0.000823416067948979
TRUE,126236,-4.758877,10.630955,BFA,Banfora - Burkina Faso,1561.522,24.6889188876878,197120291.192,3116630.36470615,"","","",0,105.81338183704,0.00221431786519553
FALSE,10555,-2.49212,9.0273695,GHA,Mesra - Algeria,3903.89231157778,29.1246396378985,41205583.3487034,307410.571378019,"","","",0,33.7751335852877,0.00769879470208872
