city_port,population,city_country,IWI,gdp_cap,gdp,wealth,iso3c,port_locode,port_name,port_status,outflows,lon,lat
TRUE,3223755,Dakar - Senegal,70.2606002240275,2287.6685,7374882765.2175,226502961.27521,SEN,SNDKR,Dakar,AI,2417263.262,-17.446713,14.692814
FALSE,505227,Awka - Nigeria,52.2935947198641,2302.16270413245,1163114756.52073,26420135.9795328,SEN,,,,,-17.044529,14.7029696
FALSE,74508,Benin City - Nigeria,42.0766985704881,2361.8791047779,175978888.338792,3135050.65708993,SEN,,,,,-16.6384888,15.1122198
FALSE,113325,Shagamu - Nigeria,38.0772661124075,2297.65604456748,260381871.25061,4315106.18218858,SEN,,,,,-16.4633198,14.7565098
FALSE,18416,Owerri - Nigeria,37.4244716433748,2269.64499576379,41797782.2419859,689209.069784391,SEN,,,,,-16.4205399,14.3423595
TRUE,118000,Nouadhibou - Mauritania,38.9206658183864,5196.45446473013,613181626.838156,4592638.5665696,MRT,MRNDB,Nouadhibou,AI,197029.5,-17.033333,20.933297
FALSE,0,Ashmūn - Egypt,18.6296720206833,5538.53368337853,0,0,MRT,,,,,-16.8981705,21.2914486
TRUE,1440712,Nouakchott - Mauritania,41.8651880562521,3726.39485774327,5368661788.28902,60315678.8148991,MRT,MRNKC,Nouakchott,AI,334524,-15.978542,18.085588
FALSE,0,Abeokuta - Nigeria,31.3978211479454,7041.16211331411,0,0,ESH,,,,,-15.67383,23.8871498
FALSE,93802,Akure - Nigeria,43.5760615586268,2287.6183979327,214583180.962884,4087521.72632231,SEN,,,,,-16.2439098,15.6356897
TRUE,976753,"Banjul - Gambia, The",39.6195599018914,1827.81084253539,1785319723.87897,38698523.9928521,GMB,GMBJL,Banjul,AI,184275,-16.577537,13.453171
FALSE,91883,Ilorin - Nigeria,36.7829540931087,2295.74090262069,210939561.355497,3379728.1709371,SEN,,,,,-16.2409897,12.7924099
TRUE,187932,Kaolack - Senegal,45.3761239685572,2278.7640345833,428252682.54731,8527625.72965889,SEN,"","","",,-16.076402,14.138908
FALSE,70315,Pretoria - South Africa,26.69126049904,1877.21348753621,131996266.376109,1876795.98199,GMB,,,,,-15.6096001,13.5730095
TRUE,154555,Saint-Louis - Senegal,41.8228350121846,2616.38725725041,404375732.544337,6463928.26530819,SEN,"","","",,-16.50258,16.034409
TRUE,159231,Rosso - Mauritania,37.3432812371366,3119.63824766881,496743117.814552,5946208.0146705,MRT,"","","",,-15.804984,16.512799
TRUE,597230,Touba - Senegal,41.7294708957356,2294.61226912889,1370411285.49184,24922091.9030602,SEN,"","","",,-15.883334,14.866839
TRUE,503968,Bissau - Guinea-Bissau,29.1359647460553,1367.43735056953,689144666.691825,14683593.88114,GNB,GWOXB,Bissau,AI,114309,-15.575626,11.856113
FALSE,0,Osogbo - Nigeria,31.0289501068166,2255.07749469541,0,0,SEN,,,,,-15.65446,14.4204092
FALSE,69357,Ţūkh - Egypt,33.2273419593215,2287.6685,158665824.1545,2304548.75627266,SEN,,,,,-15.5441999,14.1010094
FALSE,15521,Bafoussam - Cameroon,24.3321127914395,3680.26830758623,57121444.4020459,377658.722635932,MRT,,,,,-13.9632597,17.0292988
TRUE,106277,Ad Dakhla - Morocco,41.685948396546,6999.25678566019,743860013.409608,4430257.53773972,ESH,"","","",,-15.945537,23.708077
FALSE,10415,Shibīn al Qanāţir - Egypt,26.1754116436426,3292.61139046978,34292547.6317428,272616.912268538,MRT,,,,,-14.2343597,16.6268101
FALSE,0,Abū Ḩummuş - Egypt,28.4022929330901,2493.74395561908,0,0,SEN,,,,,-13.9593992,16.1129189
TRUE,217732,Laayoune - Morocco,43.2531834575172,7166.58209753815,1560394253.26118,9417602.14057214,ESH,"","","",,-13.203346,27.153675
FALSE,61291,Uyo - Nigeria,23.1067512092836,1770.86443929862,108538052.349052,1416235.8883682,GMB,,,,,-14.2115793,13.3027792
FALSE,0,Meknès - Morocco,18.1778592380354,1367.45133840083,0,0,GNB,,,,,-15.3329,12.0479898
FALSE,78800,Abū Ţisht - Egypt,28.5775553827832,2287.6685,180268277.8,2251911.36416331,SEN,,,,,-13.6763992,13.7135201
FALSE,54756,Al Fashn - Egypt,18.6469722659379,1394.43121299449,76353475.4987265,1021033.6133937,GNB,,,,,-14.8474998,12.0527
TRUE,116270,Boke - Guinea,27.5929884020649,1146.57562365401,133312347.762251,3208236.76150809,GIN,"","","",,-14.299376,10.940929
FALSE,13990,Bibā - Egypt,23.7319650851646,1189.02775135884,16634498.2415102,332010.191541452,GIN,,,,,-13.3009596,12.4839897
FALSE,0,Kitwe - Zambia,26.8793431772143,1176.62521698137,0,0,GIN,,,,,-13.6282301,10.0732899
FALSE,0,Ado-Ekiti - Nigeria,17.2149499541175,1125.84335585272,0,0,GIN,,,,,-13.1784992,11.1257696
FALSE,7461,Kenitra - Morocco,20.8461390559678,1135.4866,8471865.5226,155533.043496575,GIN,,,,,-13.0830994,11.79953
FALSE,0,Ţanţā - Egypt,23.0399064754911,2141.07888826552,0,0,SEN,,,,,-13.8246593,13.3325996
FALSE,0,Al Bājūr - Egypt,21.3110377398114,2287.6685,0,0,SEN,,,,,-13.7090893,13.0267
TRUE,110714,Kiffa - Mauritania,24.5103198098448,3692.66927840016,408830186.488796,2713635.54742716,MRT,"","","",,-11.400062,16.629969
FALSE,20065,Talā - Egypt,30.4239054818422,2223.952360451,44623604.1124494,610455.663493164,SEN,,,,,-12.2216101,14.4544096
