from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,duration,sp_distance,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_100_min_speed,MA_100_min_speed_perc,MA_100_min_speed_bt,MA_100_min_speed_bt_perc,MA_100_min_speed_bt_ratio,MA_100_min_speed_bt_perc_ratio,total_time_imp,MA_100_min_speed_bt_opt,MA_100_min_speed_bt_opt_perc,MA_100_min_speed_bt_opt_ratio,MA_100_min_speed_bt_opt_perc_ratio,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,MA_gain_pusd_bt_opt,consensus,MA_gain_pusd_cons
1,2,104.333333333333,215.330292562155,157.522826532098,180.612749591116,2.33310513046056,65988,46.15,43272.2243477175,SEN,SEN,0,0,65988,46.15,25203.64453125,670689.375,2262.98018567153,699437.03984463,85.7915492957747,100,39.5928,1667521616678.22,0.00382851508939908,936295816277.313,0.00580921703094983,0.851962045102914,1.51735513516329,39.5928,782683252656.37,0.00679682248556635,0.833253684058845,1.77531557976259,Asphalt Mix Resurfacing,165533.432763229,5.84432719386591,4.97914494833658,4.86980716513406,TRUE,5.23109310244552
2,3,10,20.1382177917893,14.7376256951476,14.2307031105909,1.30402103337551,87290.5,72.25,63043.014111003,SEN,SEN,0,0,87290.5,72.25,23656.89453125,191412.109375,450.215041684999,605210.402861108,72.4903806228374,100,52.3743,1667496564100.57,0.00232607358969794,936273684833.946,0.00344535631020548,0.831655952877495,1.48118972910607,52.3743,782661245016.407,0.00398481191699052,0.804055552433454,1.71310655631836,Mixed Works,325804.933540229,1.36380933457541,1.13422015168954,1.09657846792594,TRUE,1.19820265139696
2,4,1.5,11.6420372404686,10.5577016689517,14.4135975063821,1.06602898416928,89469.5,61.1,62786.5555411679,SEN,SEN,0,0,89469.5,61.1,25761.240234375,177027.859375,415.05773904307,607229.583274893,87.8587561374796,100,53.6817,1667470055787.79,0.000736329421480164,936253705963.037,0.00131141197576845,0.999999999990058,1.78101259777487,53.6817,782642336662.771,0.00156881045807467,0.999999999990058,2.13058233490257,Asphalt Mix Resurfacing,143711.001375058,0.954908972101185,0.954908972091691,0.954908972091691,FALSE,0.954908972094855
2,5,55,122.201173872829,88.0080151784272,102.059008578752,2.08707537778905,99998,72.9,78226.0862234277,SEN,SEN,0,0,99998,72.9,24773.337890625,137874.578125,262.06639762311,581289.600440024,82.3028806584362,100,59.9988,1667506929322.11,0.00294769182016541,936270314174.001,0.00308533593040838,0.587696885415778,1.04669555660512,59.9988,782656617708.494,0.00339356093430609,0.540350121652367,1.15126042386468,Asphalt Mix Resurfacing,137571.872104139,3.5728596855744,2.09975850923967,1.93059516574696,TRUE,2.53440445352035
6,7,63,4.09778987226334,2.98115949428335,3.63332675197934,0.612549684749352,45910,37.65,42220.6402036298,MRT,MRT,0,0,45910,37.65,22673.9140625,93855.421875,323.114517113213,653512.346178614,73.1633466135458,100,27.546,1667467211900.23,0.000565777122862876,936248431105.128,0.000748004103567901,0.742320759732986,1.32208262466135,27.546,782636803440.466,0.000861806907193063,0.714934517907766,1.52322685447629,Mixed Works,351807.47969282,0.584100888999704,0.433590215682973,0.417593887486501,FALSE,0.478428330723059
7,8,201,25.3666737877135,18.2430881781097,22.5860991849516,1.40426352396803,432345,329.9,369244.630524328,MRT,MRT,0,0,432345,329.9,8981.859375,639115.5,234.617003591284,509859.324930481,78.6320096999091,100,259.407,1667939115420.43,0.0288665548989764,936387236243.494,0.015573788801504,0.302923058926355,0.539509784108536,259.407,782667390609.605,0.00477006072392427,0.0775587194750178,0.165245237632892,Mixed Works,274474.269920908,4.05618469704276,1.22871187599846,0.3145924910568,TRUE,1.86649635469934
7,9,174,23.3742371630862,17.0484502658656,21.2707500094948,1.36873744622827,343596,267.1,314805.00971991,MRT,ESH,746351.46875,1953.821175,1089947.46875,2220.921175,8378.404296875,3484.48583984375,1.53265511349134,343947.514304062,77.1836765256458,100,206.1576,1667861090823.21,0.0241873001519233,936358805353.573,0.0125370838372607,0.291032938724524,0.518333330239994,2159.978775,782654918199.027,0.00317640731890556,0.0616382744357923,0.131325418668234,Mixed Works,214053.242206752,5.48368286054047,1.5959323379364,0.338004749076844,TRUE,2.4725399825179
3,4,1,0.525951481618674,0.395335595731921,0.353102846385049,-0.279054317133619,61111.5,72.9,43802.3684790386,SEN,SEN,0,0,61111.5,72.9,11331.97265625,65316.0390625,216.051189787737,520634.92716605,50.2975308641975,100,36.6669,1667491474585.37,0.00202084755813736,936259877416.494,0.0019705852694063,0.547513316799292,0.975128114672148,36.6669,782646601002.778,0.00211368347438068,0.490917005157498,1.045939099102,Upgrade,440804.238333923,1.25089165254708,0.684879837642601,0.614083983844927,FALSE,0.849951824678204
3,10,31,23.034295473826,16.8520354297919,16.4853605670615,1.36237493347566,73391,61.2,71956.9618679209,SEN,SEN,0,0,73391,61.2,1745.888671875,102835.90625,212.946379306802,415457.648524352,71.9519607843137,100,44.0346,1667481743353.15,0.00143725063870281,936256797510.674,0.00164162035416471,0.641317700184781,1.14219490321211,44.0346,782644117213.858,0.00179631910877109,0.586614316195089,1.24983009949632,Mixed Works,223654.700788942,1.46004593748154,0.936353302789796,0.856483849229153,FALSE,1.08429436316683
11,12,6,8.5804390342992,5.67172504730359,5.74093899738033,0.933509509911109,120604.5,103.9,82015.6810081612,GMB,SEN,900140.5,2865.90885,1020745,2969.80885,27928.345703125,65824.53125,119.487203164599,551841.372179099,69.6464870067373,100,72.3627,1667469129271.96,0.000680764846050508,936241474657.156,0.00000498550125627162,0.00411192057369906,0.00732338234736306,2938.27155,782630065895.308,0.000000921859011349113,0.000635578302381197,0.0013541519023747,Mixed Works,297074.605356415,0.316827540234936,0.0013027696810065,0.000201368710170131,FALSE,0.106110559542038
