add,from,to,sp_distance,distance,duration,cost_per_km,border_dist,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4
0,1,2,43.2722243477175,65.988,0.769166666666667,0.165533432763229,0,10.92322016118,85.7915492957746,99.9691778764379,291.394488638068,454.54663370387,95.0554317007569,439.530601829735
0,2,3,63.043014111003,87.2905,1.20416666666667,0.325804933540229,0,28.4396755511934,72.4903806228374,99.9691778764349,317.618409473006,170.50767996001,1.20853524520997,16.9400228706861
0,2,4,62.7865555411679,89.4695,1.01833333333333,0.143711001375058,0,12.8577514375258,87.8587561374795,99.9691778764384,316.145688318105,110.419488944993,4.16658565724259e-06,42.537874792047
0,2,5,78.2260862234277,99.998,1.215,0.137571872104139,0,13.7569120666697,82.3028806584362,99.9691778764371,76.9607956868302,141.367867418945,132.817836365593,2.43247803845522e-06
0,6,7,42.2206402036298,45.91,0.6275,0.35180747969282,0,16.1514813926974,73.1633466135458,73.1683185755232,30.4198441255456,21.2383454366412,7.61632118992946,134.736202812298
0,7,8,369.244630524328,432.345,5.49833333333333,0.274474269920908,0,118.667578228955,78.6320096999091,78.6373532958561,1.4442614172592e-07,73.3876530246572,9.81850100411792,66.4412931689412
0,7,9,314.80500971991,1089.94746875,4.45166666666667,0.214053242206752,746.35146875,73.5478378092712,77.1836765256458,80.0764977931006,40.7740391159597,101.436100559952,4.12898663270511e-08,100.93740035698
0,3,4,43.8023684790386,61.1115,1.215,0.440804238333923,0,26.9382082109435,50.2975308641975,50.3009489337992,3.65814429836105e-06,19.4260218595975,10.203612145149,11.0874314026393
0,3,10,71.9569618679209,73.391,1.02,0.223654700788942,0,16.4142421456012,71.9519607843137,71.9568504241372,2.77780309450653e-06,55.5485446559647,18.4883235338564,2.04653584773121
0,11,12,82.0156810081612,1020.745,1.73166666666667,0.297068429665397,900.1405,35.8277894255804,69.6464870067372,99.9691778764342,217.427341536358,1.35976180138143e-08,8.43643355662929e-08,121.210145213508
0,11,13,93.5022496589565,1017.445,2.78833333333333,0.496691360654737,900.1405,58.2641317159236,42.0697549312612,99.9691778764279,33.1823427903853,217.216520184794,7.51720085038083e-07,272.200480661028
0,11,14,105.495162729709,115.4425,2.3075,0.491294139557334,0,56.7162237058475,50.0292524377031,99.9691778764298,217.045069082669,1.34074685566244e-07,49.2391903673899,234.584124921061
0,15,16,91.5102357522865,1263.377125,2.60416666666667,0.522148460719765,1159.498125,54.2402599511085,39.889536,39.8922467734365,1.95972982022722e-07,34.4033745011228,10.2626370577281,44.5257869778258
0,4,5,46.2810901998088,59.389,0.88,0.297726343750279,0,17.6816698289853,67.4875,67.4920862484356,52.4678508785543,2.11136599825902e-06,3.85966272551743e-06,16.7878429429274
0,4,17,63.5440867230124,79.9575,1.0075,0.303071132661729,0,24.2328100898002,79.3622828784119,99.9691778764364,203.386073893969,167.445380015199,3.32913234347316e-07,1.81205562716923e-07
0,5,13,43.4453623415589,44.9755,0.7325,0.355771894999091,0,16.0010188635316,61.4,99.9691778764323,1.5365606990368e-06,144.547777056947,84.0870898600756,34.6571864986638
0,5,17,82.1127830088755,92.795,1.39,0.311553305902198,0,28.9105890211945,66.7589928057554,99.9691778764335,118.182980510229,101.380737940767,52.1695367891378,1.55590188884507e-06
0,10,15,52.2622973417942,68.931,0.995,0.275803780020507,0,19.0114303605936,69.2773869346734,69.282094818466,9.98577028800263,112.265468371157,2.03048140436429e-06,2.0304810794245e-06
0,10,17,93.836245083748,107.9945,1.575,0.257737404068897,0,27.8342220837185,68.5679365079365,99.969177876434,211.396065119961,241.358142785044,4.48755760019398e-08,1.23364930302787e-07
0,10,16,108.219880184134,1325.184125,3.43,0.414117413925291,1159.498125,68.6134578436258,48.3049562682216,48.3082587722518,1.11267154851271e-08,81.2194216223787,26.3063994813942,36.160976788351
0,12,14,110.483824815583,1040.6815,2.20166666666667,0.295491345605075,900.1405,41.5286492026828,63.8339137017411,63.8382516633911,2.5130619778641e-07,53.6684543229323,7.76590594340742,38.229427626628
0,12,18,126.741963273292,1236.796625,2.73166666666667,0.352623970045695,1059.185625,62.6298959437859,65.0192800488102,99.9691778764332,175.880020754469,19.1230032389961,1.16107309672284e-08,111.56226215671
0,13,19,55.2009612340076,58.066,0.8575,0.312084031689064,0,18.1214713840572,67.7154518950437,67.7200536539995,28.6699115526341,76.5760923464157,1.10838785772476e-07,45.6542416004466
0,13,14,80.6180553436747,986.0875,1.31916666666667,0.327831438868844,900.1405,28.1761286764605,65.1524952621604,91.3088964031627,7.77516935806192e-08,109.545830021884,2.55209865450938e-08,103.314941388507
0,13,20,57.5448184023604,61.198,0.898333333333333,0.320133428282312,0,19.5915255440209,68.1239332096475,68.1285627081785,1.44964080673306e-07,1.66900725338534e-09,100.983942607631,71.0675485094381
0,8,21,243.80284993095,253.8725,3.12166666666667,0.100688461972808,0,25.5620315621917,81.3259476775227,99.9691778764369,64.7984514487031,15.566627069556,95.5639540902774,263.043220436945
0,9,22,34.0684933407483,42.6785,0.634166666666667,0.386934519662693,0,16.5137848974242,67.2985545335085,99.9691778764337,149.100992622372,45.7326729019581,6.3225404680442,26.8866838801482
