lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,ctry,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4
-17.446713,14.692814,SEN,"Dakar - Senegal",TRUE,3223.755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1,436.768286798695,3223.755,359442.078609817,361433.535618485,2.74209343467737,438.893498093708,3223.755,361943.195931292,363910.063569117,2.73639506806715,0,212.517143995035,0,113.234520791723,0,386.744547776058,0,83.9389885964708,0,52.3372809093211,0,228.17615313375,3223.755,315587.04508748,315941.70196921,2.93843608296496
-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",FALSE,505.227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,1,292.598839677086,505.227,31784.3057017581,39729.5152225801,3.2557006212035,297.782571127296,505.227,32591.7725109176,40898.9008452502,3.23128963044966,0,383.314837478551,0,33.377506567557,505.227,25628.4808477413,26420.1359795328,4.08197436780056,0,19.4119435578445,0,148.319138940189,0,329.83870802287,0,35.9816350967459
-16.6384888,15.1122198,SEN,"Dzolokpuita - Ghana",FALSE,74.508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0,1,262.653328421144,74.508,4017.38830114277,4923.74096553804,3.40988745609514,267.496887929741,74.508,4123.63961874922,5133.06455374048,3.38328806270436,74.508,2889.94907971469,3135.05065708993,4.5090208546044,0,127.970983825613,0,21.4275040158838,0,4.11791728838072,0,119.450653889383,0,20.6613025427897,0,53.3271644273887
-16.4633198,14.7565098,SEN,"Gusau - Nigeria",FALSE,113.325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0,1,247.307840612171,113.325,5606.81980981808,7173.71097593952,3.4990089620898,259.509721243951,113.325,6006.15085331794,7460.81623873389,3.42752919858864,113.325,3861.18709503981,4315.10618218858,4.76446248557229,0,253.143636663372,0,18.6076199585293,0,6.07830070390837,0,120.083474466123,0,34.3590145006644,0,50.507280588937
-16.4205399,14.3423595,SEN,"Chipinge - Zimbabwe",FALSE,18.416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0,1,121.517398295332,18.416,330.164107950405,1301.6729271992,4.74462567396608,145.118723570213,18.416,425.452685831281,1330.51981067415,4.39709174822055,18.416,476.175501581222,689.20906978439,7.35009032060349,0,99.6296154410492,0,16.0687455297828,0,1.72011816511865,0,122.2917227046,0,11.3020274914402,0,47.708748210604
-17.033333,20.933297,MRT,"Nouadhibou - Mauritania",TRUE,118,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197.0295,2,451.05749118811,118,13775.9472451544,13969.4868551522,2.70452174017469,457.011086388364,118,14036.4392473788,14220.5313610102,2.6893655207458,0,22.4804723422171,0,67.6402227879373,0,14.9426957703793,0,82.9646849481611,0,4.5791734315364,0,149.869824928686,118,11772.9081996064,11882.7300665696,2.95573753010109
-16.8981705,21.2914486,MRT,"",FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0,2,46.8606513811268,1e-06,4.59566789308006e-06,211.163787427809,9.11579177262563,36.7159356946096,1e-06,3.24329295531091e-06,208.084399439919,8.57959945288873,1e-06,4.62614217530423,1.86296720206833e-05,57.540984346185,0,2.88489685418465,0,72.8654465540938,0,0.784046792548883,0,139.770586856477,0,93.9023288166245,0,12.7716965313912
-15.978542,18.085588,MRT,"Nouakchott - Mauritania",TRUE,1440.712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,2,288.893630952803,1440.712,89001.3785258733,90448.6173958784,3.27353092109419,294.623211346831,1440.712,91533.6977302262,93358.0891744968,3.24609454903477,0,344.330325458566,0,53.4502210886793,0,114.015941969297,0,92.8868751228012,0,57.595811890303,0,130.689799064639,1440.712,72211.7308562793,72693.0668148991,3.69090838215995
-15.67383,23.8871498,ESH,"",FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0,3,52.9044683120807,1e-06,5.46526897761271e-06,339.638426236572,8.43943782136973,48.2653063736713,1e-06,4.79371885671093e-06,337.577383635945,7.49119463495834,1e-06,94.3361129647251,3.13978211479454e-05,14.1709433821513,0,21.7754310736837,0,29.4954055423126,0,1.16211005045391,0,127.677428929379,0,8.50406966523668,0,47.1980818019826
-16.2439098,15.6356897,SEN,"Banikoara - Benin",FALSE,93.802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0,1,268.506645163988,93.802,5219.48283751127,6081.42686440737,3.3778293404943,279.991052322313,93.802,5541.30331860004,6363.03252788174,3.31774014800776,93.802,3907.46099668331,4087.52172632231,4.23376856400985,0,96.8430323192386,0,26.8930618290463,0,5.083556180692,0,117.379060070065,0,26.6604044591693,0,51.2555707058516
