lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,ctry,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4
-17.446713,14.692814,SEN,"Dakar - Senegal",TRUE,3223.755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1,945.000004445707,3223.755,1082576.28079075,1119089.809675,1.96985101182324,985.121920550083,3223.755,1148830.34014718,1182703.94851637,1.93505874994564,0,2337.61606493692,0,122.865343009091,0,3725.31485661409,0,90.0539700025968,0,767.126500133647,0,258.24595587954,3223.755,312010.119377005,315941.70196921,4.70434394501474
-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",FALSE,505.227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,1,689.660493402721,505.227,108183.122741642,220476.793209088,2.25455286569161,740.988758162621,505.227,119866.284265154,241133.226946952,2.18624670611866,0,2645.31762759618,0,44.2811260499704,505.227,20066.6423222323,26420.1359795328,11.469753042035,0,323.684879288398,0,179.661738928439,0,2968.49916547667,0,41.00585951236
-16.6384888,15.1122198,SEN,"Dzolokpuita - Ghana",FALSE,74.508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0,1,601.251331247726,74.508,13114.8275776086,24714.6017347737,2.39108168086469,618.542177920981,74.508,13656.9263840757,26042.6145674553,2.36220343696226,74.508,1159.71677361021,3135.05065708993,18.8020726668608,0,792.333125004071,0,24.238280703649,0,49.3863716620861,0,154.182685569753,0,239.771370163523,0,53.7743871233753
-16.4633198,14.7565098,SEN,"Gusau - Nigeria",FALSE,113.325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0,1,586.717048708098,113.325,19262.0935876219,32908.3533015417,2.41628961261038,656.644726906746,113.325,22623.6740875453,34524.735980004,2.30245469435378,113.325,1183.56558541536,4315.10618218858,21.8180760657689,0,1341.29685213329,0,20.0721888192973,0,61.1989014125708,0,157.198689119817,0,345.211735221863,0,49.6082952964583
-16.4205399,14.3423595,SEN,"Chipinge - Zimbabwe",FALSE,18.416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0,1,425.43911486972,18.416,1977.68416532637,12959.6854352881,2.77315297790652,509.756125788934,18.416,2560.56355965962,15570.3172193218,2.56637573358359,18.416,512.898256671814,689.20906978439,24.9745534620661,0,571.796395425852,0,23.2286661209155,0,31.5248759652175,0,160.355166343111,0,167.017398699792,0,52.7647725613152
-17.033333,20.933297,MRT,"Nouadhibou - Mauritania",TRUE,118,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197.0295,2,1077.67460656114,118,47806.4865927667,50907.8006391487,1.86200512828567,1205.64298858932,118,56118.0600357864,59524.5941339435,1.7745822082821,0,362.596941393575,0,53.204005220181,0,210.306015320954,0,76.4996218642637,0,69.2406150056886,0,160.442642913108,118,10447.4700085243,11882.7300665696,5.66091103186262
-16.8981705,21.2914486,MRT,"",FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0,2,700.778181183704,1e-06,0.000219075952580733,7733.90970517569,3.27197814738423,464.258271214494,1e-06,0.000121656760889147,8395.78731940301,2.74591746672227,1e-06,115.96489729703,1.86296720206833e-05,47.6991602812434,0,63.8635490658727,0,70.9947769433792,0,19.8087275837388,0,154.937798080339,0,668.803797474182,0,14.8318711798374
-15.978542,18.085588,MRT,"Nouakchott - Mauritania",TRUE,1440.712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,2,750.045826578488,1440.712,347796.385440615,371077.467681365,2.17489357115918,838.231625357411,1440.712,407653.453613644,434765.703700008,2.07371051435698,0,3004.28972647873,0,57.1597656705044,0,1545.78817715764,0,89.0194678850249,0,726.494151915221,0,147.264104117754,1440.712,67791.2758493814,72693.0668148991,7.15817716617001
-15.67383,23.8871498,ESH,"",FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0,3,849.805377216532,1e-06,0.000288550421730097,11611.0687141091,2.89619222227531,576.742142856947,1e-06,0.000165859044439966,11706.8844036404,2.48882855287954,1e-06,641.117359241122,3.13978211479454e-05,17.2582799530329,0,177.985620326184,0,40.5538966032738,0,19.2667847048524,0,178.545827267327,0,192.868106422988,0,38.4399006166497
-16.2439098,15.6356897,SEN,"Banikoara - Benin",FALSE,93.802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0,1,724.638134348921,93.802,21556.5428764234,32366.355411808,2.20725348474774,785.667638289408,93.802,24196.2033690595,38455.8174774386,2.13207156140276,93.802,2651.0635112329,4087.52172632231,12.6812789081267,0,682.604894202742,0,31.3326319580199,0,66.4507326541432,0,148.061891668561,0,351.630739641085,0,48.75867775442
-16.577537,13.453171,GMB,"Banjul - Gambia, The",TRUE,976.753,1827.81084253539,39.6195599018914,1785319723.87897,38698523.9928521,GMBJL,Banjul,AI,184.275,4,776.537531286496,976.753,247780.920120157,263533.245668504,2.14277903852687,877.157460302237,976.753,294890.564397264,318543.164841463,2.03375895678552,0,3306.3736635841,0,42.7409053265619,0,1452.09522294525,0,73.9744266706334,0,448.127312050289,0,161.985968402792,976.753,40782.3128820942,45516.6989928521,8.00627378920087
