lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,ctry,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4
-17.446713,14.692814,SEN,"Dakar - Senegal",TRUE,3223.755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1,317.299752218308,3223.755,227703.562420769,227867.052259181,3.14456065733604,317.391010087945,3223.755,227797.124344292,227971.49031943,3.14417313684682,0,32.4345177505006,0,28.7888771997672,0,130.198740287146,0,20.3387796979486,0,3.05982975241152,0,51.9460199144249,3223.755,226386.53720089,226502.96127521,3.14966190933472
-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",FALSE,505.227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,1,261.192677513882,505.227,27025.1170224036,27510.543338405,3.41804681117522,261.657467257671,505.227,27093.844530739,27609.102459798,3.41544338428783,0,186.4970293999,0,11.9135772045025,505.227,26108.9910498971,26420.1359795328,3.46347965156546,0,2.48348727282076,0,35.0707205727119,0,116.424071860287,0,13.4029212939259
-16.6384888,15.1122198,SEN,"Dzolokpuita - Ghana",FALSE,74.508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0,1,224.932428049749,74.508,3219.26627537081,3293.22491872211,3.64414894117344,225.598741936912,74.508,3232.89832285482,3318.16112260018,3.63953226506668,74.508,3053.68718754777,3135.05065708993,3.71589817324631,0,59.0237546668107,0,9.96582449326937,0,0.778998675755141,0,29.4026045675256,0,6.9500354435924,0,17.0126980665602
-16.4633198,14.7565098,SEN,"Gusau - Nigeria",FALSE,113.325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0,1,210.363880542944,113.325,4449.74969757201,4597.83714270947,3.75024257808898,211.98056223629,113.325,4498.6829929961,4639.01518199435,3.73795799518655,113.325,4163.4976909514,4315.10618218858,3.84039842582912,0,118.582167336557,0,9.34837273099457,0,1.26995248347461,0,29.0598938142178,0,12.5340547056222,0,16.3952473521827
-16.4205399,14.3423595,SEN,"Chipinge - Zimbabwe",FALSE,18.416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0,1,176.902906052312,18.416,564.579189716168,700.866070414728,4.0392753087179,180.698251655474,18.416,581.962287400382,712.936384279409,4.00269461025106,18.416,569.295266860183,689.20906978439,4.23429154191623,0,47.9532507360071,0,7.85978450794045,0,0.325088699563731,0,27.3914352729879,0,3.89070781545022,0,14.7267872308968
-17.033333,20.933297,MRT,"Nouadhibou - Mauritania",TRUE,118,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197.0295,2,210.609266210939,118,4641.03826917066,4650.75937960795,3.74836931415608,210.863380667575,118,4649.03995054961,4658.75959346588,3.74643269133507,0,9.57012004825542,0,17.5977104872156,0,3.68101863185584,0,22.3456770051367,0,0.394215737733879,0,39.061784704878,118,4564.30973539852,4592.63856656959,3.76566543745343
-16.8981705,21.2914486,MRT,"",FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0,2,85.4520351373367,1e-06,1.08413421274336e-05,24.2001414049979,6.36400199884964,68.7797945733693,1e-06,7.95103587093575e-06,23.963645514772,6.33297945464264,1e-06,0.651561677791159,1.86296720206833e-05,15.595793874844,0,0.225040653226862,0,20.3437607618914,0,0.0204349904273458,0,37.059873462929,0,20.7577600970423,0,6.56449255952439
-15.978542,18.085588,MRT,"Nouakchott - Mauritania",TRUE,1440.712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,2,221.95046998832,1440.712,61073.268680052,61204.691748733,3.66505180973684,222.360290614445,1440.712,61234.4306658106,61395.5888752557,3.66215534103263,0,150.668363111406,0,16.4537743645104,0,25.6361727460822,0,25.6187395580175,0,8.09442819505604,0,34.1762583719942,1440.712,60156.3166164022,60315.6788148991,3.68087225444032
-15.67383,23.8871498,ESH,"",FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0,3,84.4171689245209,1e-06,1.06542671577458e-05,36.6459878753647,6.40776500893285,75.7639685740069,1e-06,9.1290659103859e-06,37.6844507747319,6.05129181385367,1e-06,25.952036911368,3.13978211479454e-05,6.64271730191139,0,3.00161783217451,0,11.3906840605153,0,0.0253945648362207,0,37.558171351285,0,1.51791367514261,0,13.5075600103445
-16.2439098,15.6356897,SEN,"Banikoara - Benin",FALSE,93.802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0,1,228.378327180359,93.802,4141.89120403014,4227.6208979163,3.62048156216182,230.01356587007,93.802,4184.32304258903,4267.66552840868,3.60942800330607,93.802,4016.86083803062,4087.52172632231,3.66449624035604,0,43.249194792454,0,11.3760494789222,0,1.04322690029951,0,28.8663128725022,0,9.82865767630611,0,16.4764039338263
