add,from,to,sp_distance,distance,duration,cost_per_km,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4
0,1,2,43.2722243477175,65.988,0.769166666666667,0.165533432763229,85.7915492957746,100.000000040707,1162.21031441741,1864.26483604553,391.878907394022,1890.82798057739
0,2,3,63.043014111003,87.2905,1.20416666666667,0.325804933540229,72.4903806228374,100.000000040707,968.05013831653,611.632885361674,200.588841952605,80.3749492396097
0,2,4,62.7865555411679,89.4695,1.01833333333333,0.143711001375058,87.8587561374795,100.000000040707,1014.89320095674,245.662801224907,30.0688068753038,228.944707397316
0,2,5,78.2260862234277,99.998,1.215,0.137571872104139,82.3028806584362,100.000000040707,475.092106367739,615.355386978717,328.114108356061,7.74589681410232e-06
0,6,7,42.2206402036298,45.91,0.6275,0.35180747969282,73.1633466135458,100.000000040707,198.74595568104,110.849093601325,35.6645602287858,753.565099336497
0,7,8,369.244630524328,432.345,5.49833333333333,0.274474269920908,78.6320096999091,85.2922229984067,4.62286998045043e-07,496.120396960819,76.1960102060256,228.11335708148
0,7,9,314.80500971991,343.596,4.45166666666667,0.214053242206752,77.1836765256458,100.000000040707,265.218183976001,641.776559583553,30.0620716614888,653.980428609537
0,3,4,43.8023684790386,61.1115,1.215,0.440804238333923,50.2975308641975,54.5577842294846,25.1355683747066,92.5760395008038,87.2231471627814,46.9232329034983
0,3,10,71.9569618679209,73.391,1.02,0.223654700788942,71.9519607843137,78.0463669669554,6.35326221227191e-06,307.347110999767,313.848480497654,3.78339573846377e-06
0,11,12,82.0156810081612,120.6045,1.73166666666667,0.297068429665397,69.6464870067372,100.000000040707,793.454203647275,3.00107812484967e-08,3.00111750607002e-08,538.891218820843
0,11,13,93.5022496589565,117.3045,2.78833333333333,0.496691360654737,42.0697549312612,100.000000040707,607.372331844606,739.700744580526,1.38893281651228e-07,1314.14550742859
0,11,14,105.495162729709,115.4425,2.3075,0.491294139557334,50.0292524377031,100.000000040707,521.690218763865,43.4896857603971,250.965573903543,927.66747800334
0,15,16,91.5102357522865,103.879,2.60416666666667,0.522148460719765,39.889536,45.1385555124541,135.265557202731,34.3823774617759,42.9061766582956,219.601791322281
0,4,5,46.2810901998088,59.389,0.88,0.297726343750279,67.4875,73.2037616941594,135.483438589895,2.04349748733514e-05,25.8332204668892,4.11849655824823e-06
0,4,17,63.5440867230124,79.9575,1.0075,0.303071132661729,79.3622828784119,92.0678904108496,480.463468324798,521.074640521908,9.38860155768489e-08,5.55407772675643e-06
0,5,13,43.4453623415589,44.9755,0.7325,0.355771894999091,61.4,100.000000040707,273.063340343594,1035.88400668195,319.141779793017,385.465972471902
0,5,17,82.1127830088755,92.795,1.39,0.311553305902198,66.7589928057554,100.000000040707,30.029859603669,719.082703074858,8.52839428531742e-08,292.185365521148
0,10,15,52.2622973417942,68.931,0.995,0.275803780020507,69.2773869346734,75.1452539205023,215.444873697268,339.225447191435,2.56416462465421e-07,2.56416403632283e-07
0,10,17,93.836245083748,107.9945,1.575,0.257737404068897,68.5679365079365,100.000000040707,961.753096478129,1079.9539748546,4.29335192730535e-07,3.40330361752168e-07
0,10,16,108.219880184134,165.686,3.43,0.414117413925291,48.3049562682216,100.000000040707,8.2916296081048e-08,710.249497356951,349.118921328147,191.427012541502
0,12,14,110.483824815583,140.541,2.20166666666667,0.295491345605075,63.8339137017411,69.2407128227863,1.19700498655213e-07,367.592386286785,24.4841332440047,260.447847756349
0,12,18,126.741963273292,177.611,2.73166666666667,0.352623970045695,65.0192800488102,91.0904878118207,398.913386145736,274.768391690669,3.71370993368447,400.683653754887
0,13,19,55.2009612340076,58.066,0.8575,0.312084031689064,67.7154518950437,100.000000040707,34.8931463030289,659.910422606571,9.25357171085066e-08,463.583152138297
0,13,14,80.6180553436747,85.947,1.31916666666667,0.327831438868844,65.1524952621604,100.000000040707,42.9484523767249,522.991859596536,4.02329032956607e-06,472.24894443777
0,13,20,57.5448184023604,61.198,0.898333333333333,0.320133428282312,68.1239332096475,82.2655541016622,3.13924455924436e-07,1.68071124533569e-06,392.282023558626,345.343605266838
0,8,21,243.80284993095,253.8725,3.12166666666667,0.100688461972808,81.3259476775227,100.000000040707,238.679312895504,94.0644398605311,450.873680286343,1114.39506860041
0,9,22,34.0684933407483,42.6785,0.634166666666667,0.386934519662693,67.2985545335085,100.000000040707,573.325749115661,151.085130849458,20.2144079158527,178.354660523594
0,17,19,55.412068651568,74.1055,1.17666666666667,0.319522388574093,62.979178470255,100.000000040707,145.461897697364,1158.0520735327,155.20972725715,411.37542864938
0,8,16,175.854335491933,206.3605,4.9375,0.393129993251088,41.7945316455696,100.000000040707,1272.01069993721,202.051151208013,5.17841733036958e-08,1159.12326936345
0,16,23,167.872131266914,194.882,2.30583333333333,0.096236659645658,84.5169497650886,91.6756236298689,119.901135380303,188.238253121816,248.933015973991,3.71893246518728e-06
0,16,24,201.913890850423,228.693,4.26833333333333,0.339395795559859,53.578992581023,58.1171891789493,53.8038894019452,18.5266249675132,214.545218797899,215.235472636509
0,9,25,439.722778345644,491.7265,6.32083333333333,0.214053242206752,77.7945682267633,84.3838493583553,1.71001809778098e-06,877.261745942324,2.40960762954854e-07,373.686573743422
0,19,20,37.4507633017682,44.624,0.695833333333333,0.326475245690194,64.1302994011976,100.000000040707,292.774283343113,416.201995438762,163.88676267237,2.17089884613469e-07
0,14,26,154.153692979075,195.5475,2.41583333333333,0.135205428990047,80.9441186616075,87.8001700025644,1.60285432629747e-06,1.61400566744667e-06,303.128791853144,393.859296612442
0,18,27,33.9474466679,58.1355,0.996666666666667,0.536106898170044,58.3299331103679,100.000000040707,456.480651760648,4.14610397375855e-06,134.611165729843,858.479139252243
0,20,28,206.154020790989,216.6965,3.07166666666667,0.282737182545051,70.546880086815,80.3082206570632,6.12635744258857e-08,259.866382406262,579.593000107507,209.508271369816
0,27,29,52.7873708621944,57.5465,0.890833333333333,0.304516493372713,64.5985032740879,100.000000040707,281.305213234167,4.89449912477457e-06,142.855999893514,488.209011683858
0,26,27,185.107615420464,293.007,5.09,0.4742630889396,57.5652259332024,62.4410606569303,256.198332737745,18.617358897318,8.10804469722983e-08,264.893486768326
0,29,30,137.294612325543,196.1405,6.50916666666667,0.49544095549567,30.1329663295353,32.6852600307528,6.94567704329323,15.0197280159053,62.8261367293116,132.332184256626
0,29,31,174.74918878549,185.608,3.95416666666667,0.487657284527955,46.9398524762908,50.9157069773423,3.3629092868266,23.6130969157029,96.244601402183,244.099243916305
0,30,32,121.210113908614,186.7765,2.34166666666667,0.31820469644107,79.7622064056939,86.5181485448826,542.663910051631,4.17001555305711e-07,1.77882122874385e-06,210.670829297273
0,30,33,124.046700696446,162.139,3.47333333333333,0.515687520073708,46.681094049904,50.6350314421458,11.956322745734,96.453764888303,33.9083766650948,122.51834891461
0,30,34,163.384732396312,207.363,4.94666666666667,0.510069874248878,41.91974393531,45.4703900028985,9.67177403782221,18.4812980129142,67.7033634882526,76.8647402837038
0,21,23,53.2498382582541,56.074,0.660833333333333,0.0941039021466219,84.8534678436318,100.000000040707,196.459239087041,171.241684369679,119.157325267117,192.779044404561
0,23,24,64.2320428038212,89.9435,1.7225,0.343297195341202,52.2168359941945,56.6396565073831,3.71151339956173e-06,3.7117543792678e-06,134.650050422816,166.615663923107
0,26,35,41.9977098802219,47.422,0.796666666666667,0.570674770456007,59.5255230125523,64.5673969450799,1.51424990876243e-07,73.756178524721,105.252384692029,313.422012975612
0,26,36,62.4692969478401,77.372,1.2825,0.304247056008356,60.329044834308,65.4389779038627,4.25444977667298e-07,1.12320154002427e-06,216.523845891356,227.520654523705
0,21,37,276.395266392658,349.054,4.17083333333333,0.117813308980554,83.6892707292707,100.000000040707,72.3491973913366,9.41558757311265e-07,598.870023245324,737.255268099984
0,24,38,262.205349440359,295.939,4.395,0.281567404941428,67.3353811149033,73.0387581807117,2.00872838693395e-06,2.96199001725137e-08,355.988708894893,355.688194688332
0,35,36,36.2428835351885,37.7125,0.521666666666667,0.3223432749613,72.2923322683706,78.4155682709952,24.7155996170477,29.4363822810279,21.3562410464465,93.0684153221529
0,28,35,45.2878793911408,48.791,0.635,0.328431052843598,76.8362204724409,83.3443285489084,75.1087938600631,111.057625428429,86.3821452916746,395.889746892586
0,39,40,31.7986801998724,33.8265,0.4375,0.468753398433196,77.3177142857143,100.000000040707,830.392793010121,591.878903616348,276.162251327143,1567.71391297993
0,31,36,74.8387684486547,89.559,1.2175,0.298471757968358,73.5597535934291,79.7903415052338,1.25894653120335e-06,25.3623187981109,239.232752590461,128.425533801046
0,28,38,177.214561755287,186.905,2.90583333333333,0.263810862450516,64.3206194436478,69.768643049061,4.38530473221786e-07,39.6989009183665,332.362631168478,294.842351896124
0,28,41,208.996498978738,239.229,3.34583333333333,0.287825053318669,71.5005728518057,77.5567460054005,2.14348423785103e-05,5.90404275552513e-07,365.572292449285,212.356377642778
0,32,40,43.1912314956102,56.8815,0.684166666666667,0.181550659500613,83.1398294762485,100.000000040707,548.224657708664,2.61078561611434e-07,156.402591166756,396.15272350976
0,32,42,96.2052690853976,133.516,2.595,0.499777309501476,51.4512524084778,55.8092271928321,83.971436738363,25.2644986942367,164.658239124219,140.044069577457
0,40,43,80.5690476091567,100.07,1.385,0.420873461644458,72.2527075812274,100.000000040707,1057.2584289708,70.9930175102295,171.176132433444,658.916615216552
0,40,44,157.344195212416,203.4525,2.42,0.139803218405399,84.0712809917355,100.000000040707,484.040432170885,677.939013851032,1.51101773584166e-07,9.76800036519978e-08
0,31,34,79.708182463865,95.87,1.54916666666667,0.289088119107568,61.8848843464228,67.1265986466553,1.45586473714757e-05,15.6963197904618,176.43566988135,131.47836635537
0,31,41,130.135799003812,182.841,4.245,0.488702460352151,43.0720848056537,46.7203353477858,1.38801615107605e-07,1.82801256439903e-06,165.905271744177,215.927643771972
0,44,45,52.2292378260628,73.2685,0.891666666666667,0.17958624046337,82.1702803738318,100.000000040707,458.056131659659,607.275952523598,204.056035636429,1324.1331060286
0,25,46,155.608120636636,216.845,3.35333333333333,0.301385255126134,64.6655069582505,70.1427428961477,354.847044952573,396.821714243249,1.44854695898119e-06,28.4828402398654
0,25,47,247.859897052163,313.9795,4.24166666666667,0.271039549896426,74.0226719056975,80.2924694817502,457.992525183421,572.02449452859,61.8312223021908,2.80531483989409e-07
0,33,34,75.6367560612258,105.376,2.435,0.474254034074142,43.2755646817248,46.9410501817546,22.1958417617123,30.9472136543251,11.0162351064564,16.6773532305082
0,33,42,56.5770278699992,83.359,1.64333333333333,0.52278677150046,50.7255578093306,55.0220655036495,1.68609161499378e-06,126.837972742643,175.330463457135,24.5247644972358
0,33,48,99.9326932086834,181.2595,3.72083333333333,0.596655023209748,48.7147592385218,52.8409501950005,5.90416202199686e-07,7.92438411673928,222.860818881425,156.487323579643
0,34,48,102.336744268208,153.309,3.3475,0.575125768163372,45.7980582524272,49.6772015909007,2.14757641326799e-07,14.8242565776499,237.33642897071,179.057250497967
0,42,43,68.8185634556726,100.999,2.27416666666667,0.562086866238292,44.4114327592525,48.1731274710798,7.21703866975803e-07,191.902011619589,7.21707479527561e-07,76.4957567005503
0,43,49,92.2172251155751,134.037,1.88,0.368798972668467,71.2962765957447,100.000000040707,156.655779510272,678.519617918694,252.07136489545,469.049489059391
0,44,50,127.164508514112,165.123,2.11083333333333,0.343922010138396,78.2264508487959,89.9027847661542,122.382461598539,749.806212921155,1.11826756530264e-07,236.787965185509
0,44,51,197.279452964688,265.625,4.03666666666667,0.320961295884398,65.8030553261767,100.000000040707,1.77303161492986e-06,778.435753077657,250.513550224292,680.477162220272
0,41,48,145.647156122913,207.698,5.03333333333333,0.591236057595403,41.2645033112583,44.7596498140426,2.23937931218576e-07,179.299427723337,1.53885121031625e-06,13.4127743688812
0,48,49,106.075157903088,146.442,2.005,0.366886770444561,73.0384039900249,100.000000040707,710.15578080402,1053.12275441995,4.16582912234827e-08,1.82894987763053e-07
0,48,52,210.199692655041,307.325,7.71583333333333,0.51901238641125,39.8304352521871,99.8149496016465,37.567817126033,584.976695225868,538.29745303105,202.06191021013
0,38,53,84.9280001607089,97.3255,2.13166666666667,0.527599682140988,45.6569976544175,100.000000040707,4.94477108131391e-07,7.05136578602731e-07,707.454714561236,614.126705546849
0,41,54,34.8627030825964,36.6685,0.516666666666667,0.303278200715508,70.9712903225806,100.000000040707,6.27812903605995e-07,147.93725592612,542.897786349921,390.029638190194
0,49,55,60.2515105568536,74.675,1.05166666666667,0.350149063483968,71.0063391442155,77.0206501868911,127.020835477566,38.3215256007762,81.9850320016567,7.26090026245885
0,49,56,304.381057318217,394.242,4.6775,0.139983530947566,84.2847675040086,100.000000040707,174.310696532534,666.39705976323,537.537674358452,117.487434284752
0,53,54,185.995435892393,219.3075,5.47083333333333,0.51318021612468,40.0866717440975,43.4820546837104,201.951911284349,125.684864084894,1.56823410958369e-07,5.72543468172651
0,52,54,112.403624177832,149.283,2.20583333333333,0.256799937539953,67.6764639214205,100.000000040707,94.7425421482056,1.76970035544308e-07,555.156695099957,366.085424250057
0,50,57,85.5610534849543,105.1795,1.26666666666667,0.135321075522959,83.0364473684211,100.000000040707,5.82726462612014e-07,837.565421038123,5.82698190716646e-07,323.127057287215
0,50,58,61.6294577633008,68.556,0.849166666666667,0.163106556885384,80.7332679097154,100.000000040707,629.395081711064,267.233156832418,82.8941904044627,105.617176337699
0,46,47,196.767779186629,216.822,2.71,0.0985190386159311,80.0081180811808,86.7848891959684,9.79829179975515e-07,155.28490063501,15.7750185325496,252.376462178423
0,46,59,1066.7462856034,1311.7065,33.5575,0.462398285614645,39.0883260075989,42.3991480212466,104.901158951479,33.6746439554329,4.41673317450315e-06,226.039512886656
0,51,55,180.184022695625,244.8945,5.49666666666667,0.487750229346802,44.5532747119466,48.3269835852233,4.58165668474226e-06,3.05889098564694e-07,179.909735586711,184.850171605844
0,55,60,195.178259619949,251.578,3.0925,0.122672729990115,81.3510105092967,88.2415260144709,144.221066286718,11.5567221932481,100.403168383715,187.989026392039
0,53,61,124.710096742313,139.284,1.66,0.143439732035635,83.9060240963855,100.000000040707,26.7178411105659,9.04541472744054e-07,800.75322112456,513.994566098921
0,37,62,191.262678855845,212.6935,2.545,0.114519995177884,83.5730844793713,100.000000040707,2.76682788376272e-06,65.8746165598543,649.599932707553,631.089936771068
0,57,58,62.8194257668653,74.1355,1.76083333333333,0.529325182473223,42.1025082820634,100.000000040707,460.478669683945,94.1196390174588,84.6241666272234,604.985683361274
