lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,ctry,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4
-17.446713,14.692814,SEN,"Dakar - Senegal",TRUE,3223.755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1,945.000004445707,3223.755,1082576.28079075,1119089.809675,1.96985101182324,984.913662121778,3223.755,1148483.40301436,1182303.63555756,1.93523410452239,0,2337.97632619253,0,122.836127700002,0,3726.38681453316,0,90.024538023218,0,763.535186911358,0,259.020111679434,3223.755,312012.965798473,315941.70196921,4.70367997128955
-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",FALSE,505.227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,1,689.660493402721,505.227,108183.122741642,220476.793209088,2.25455286569161,740.861937847194,505.227,119836.978012858,240973.531793824,2.18640711129117,0,2644.36989878884,0,44.2753955917219,505.227,20071.1681767342,26420.1359795328,11.4638061332812,0,321.363607208097,0,180.459379589857,0,2969.93576685618,0,40.9775401607346
-16.6384888,15.1122198,SEN,"Dzolokpuita - Ghana",FALSE,74.508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0,1,601.251331247726,74.508,13114.8275776086,24714.6017347737,2.39108168086469,618.847968467866,74.508,13666.5725708337,25991.940629229,2.36170312810023,74.508,1154.38595764315,3135.05065708993,18.8314490895676,0,794.465286067901,0,24.1583816935015,0,48.8780926251858,0,155.015434718366,0,239.912898042296,0,53.6721151880033
-16.4633198,14.7565098,SEN,"Gusau - Nigeria",FALSE,113.325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0,1,586.717048708098,113.325,19262.0935876219,32908.3533015417,2.41628961261038,656.621624424819,113.325,22622.537010219,34508.5318266008,2.30248941889573,113.325,1182.39062747709,4315.10618218858,21.8260245104382,0,1343.66668926,0,20.0426097545539,0,60.7010294359482,0,158.010008556442,0,345.600260153682,0,49.556343779779
-16.4205399,14.3423595,SEN,"Chipinge - Zimbabwe",FALSE,18.416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0,1,425.43911486972,18.416,1977.68416532637,12959.6854352881,2.77315297790652,509.003618806809,18.416,2555.16536973904,15561.574156639,2.56800110065882,18.416,512.340602337734,689.20906978439,24.9991381386909,0,572.496742057652,0,23.2157229697129,0,31.2944269303468,0,161.183121086591,0,167.250098577542,0,52.7294571149073
-17.033333,20.933297,MRT,"Nouadhibou - Mauritania",TRUE,118,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197.0295,2,1077.67460656114,118,47806.4865927667,50907.8006391487,1.86200512828567,1201.72111826455,118,55857.4590266355,59321.1832579825,1.77706195786792,0,357.96071599118,0,53.6149030899432,0,208.225766907348,0,76.9401085758463,0,68.1590684090755,0,161.99191452877,118,10486.4603354706,11882.7300665696,5.6418711342715
-16.8981705,21.2914486,MRT,"",FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0,2,700.778181183704,1e-06,0.000219075952580733,7733.90970517569,3.27197814738423,890.585527949627,1e-06,0.000308533226024968,8409.46278808045,2.78064409673339,1e-06,118.426200226208,1.86296720206833e-05,47.6825030195454,0,65.1670569515681,0,71.0077093616777,0,20.0009669455332,0,156.05951418388,0,655.365923633225,0,15.2405860964247
-15.978542,18.085588,MRT,"Nouakchott - Mauritania",TRUE,1440.712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,2,750.045826578488,1440.712,347796.385440615,371077.467681365,2.17489357115918,836.815572641061,1440.712,406670.006134305,433598.411269092,2.07521367202172,0,2997.86113065305,0,57.1803676456012,0,1531.3738037574,0,89.4816170748608,0,720.163290853607,0,147.96782472505,1440.712,67814.6255701129,72693.0668148991,7.14889665252747
-15.67383,23.8871498,ESH,"",FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0,3,849.805377216532,1e-06,0.000288550421730097,11611.0687141091,2.89619222227531,1059.80880994564,1e-06,0.000395578987215837,11584.1613350595,2.49827275523727,1e-06,640.150634962216,3.13978211479454e-05,17.2198008423521,0,177.181480141387,0,40.5450061841313,0,18.9661458807537,0,179.844373729623,0,187.630127875633,0,39.0254457499281
-16.2439098,15.6356897,SEN,"Banikoara - Benin",FALSE,93.802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0,1,724.638134348921,93.802,21556.5428764234,32366.355411808,2.20725348474774,783.037089487783,93.802,24080.5535966794,38485.8850462405,2.13513820297271,93.802,2633.73959850824,4087.52172632231,12.761793633785,0,690.910624539225,0,31.1419481447889,0,66.0538543712177,0,148.945783029858,0,353.355236905596,0,48.6951783799548
-16.577537,13.453171,GMB,"Banjul - Gambia, The",TRUE,976.753,1827.81084253539,39.6195599018914,1785319723.87897,38698523.9928521,GMBJL,Banjul,AI,184.275,4,776.537531286496,976.753,247780.920120157,263533.245668504,2.14277903852687,877.426991361096,976.753,295020.020547034,318551.46155935,2.03349112424453,0,3306.43028228598,0,42.7355322580828,0,1451.06934225045,0,74.0008286686611,0,448.2101915553,0,161.947487876827,976.753,40791.9230737166,45516.6989928521,8.00410078173805
