lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,ctry,uj_orig,Lj_orig,Cj_orig,Dj_orig,PCj_orig,uj,Lj,Cj,Dj,PCj,Lj_1,Dj_1,Yj_1,Pj_1,Lj_2,Dj_2,Yj_2,Pj_2,Lj_3,Dj_3,Yj_3,Pj_3,Lj_4,Dj_4,Yj_4,Pj_4
-17.446713,14.692814,SEN,"Dakar - Senegal",TRUE,3223.755,2287.6685,70.2606002240275,7374882765.2175,226502961.27521,SNDKR,Dakar,AI,2417.263262,1,1588.21864521228,3223.755,707243.753084237,725458.327433279,0.72394024030209,1593.99784603133,3223.755,733404.415098997,750838.332599221,0.700658248075707,0,528.104017734661,0,88.591260748421,0,856.340050693538,0,64.1859084566755,0,146.488867771828,0,208.289534011112,3223.755,314975.742368098,315941.70196921,1.250314087368
-17.044529,14.7029696,SEN,"Yaoundé - Cameroon",FALSE,505.227,2302.16270413245,52.2935947198641,1163114756.52073,26420135.9795328,,,,0,1,1537.66087552225,505.227,80204.0656213981,129585.048915113,0.968614494768302,1548.90255932966,505.227,86264.4216307168,139665.723971944,0.907149643584953,0,846.828453813735,0,27.2819367358703,505.227,24733.8969527251,26420.1359795328,2.87658444366623,0,67.7204667957859,0,146.980210001676,0,781.377288800996,0,28.7849162049571
-16.6384888,15.1122198,SEN,"Dzolokpuita - Ghana",FALSE,74.508,2361.8791047779,42.0766985704881,175978888.338792,3135050.65708993,,,,0,1,1525.32438874803,74.508,10912.6251835836,17172.4021754384,1.04144379145057,1536.64489163635,74.508,11750.1188841506,18657.5979915154,0.974393014547087,74.508,2533.13094736775,3135.05065708993,3.68863958096565,0,276.769973687618,0,16.1395715318814,0,12.7568783435009,0,125.547587997482,0,65.817359830394,0,42.0479032803824
-16.4633198,14.7565098,SEN,"Gusau - Nigeria",FALSE,113.325,2297.65604456748,38.0772661124075,260381871.25061,4315106.18218858,,,,0,1,1520.13008321895,113.325,16041.2221949198,25921.8826861318,1.07391227503487,1538.35945685709,113.325,18072.0813770847,27536.7982894757,0.964662463794103,113.325,3220.06432367759,4315.10618218858,4.03405031467571,0,525.005269962675,0,13.5168418839146,0,18.3974794701665,0,126.225022728904,0,105.394049390233,0,39.4251736428745
-16.4205399,14.3423595,SEN,"Chipinge - Zimbabwe",FALSE,18.416,2269.64499576379,37.4244716433748,41797782.2419859,689209.069784391,,,,0,1,1458.9234340013,18.416,1728.32136172389,6858.47567137453,1.55454495630326,1490.34835745168,18.416,2138.83571923719,6742.39926103051,1.28323344884696,18.416,436.512474917717,689.20906978439,7.95886019140631,0,213.168919206244,0,12.8341189494714,0,6.7952484723682,0,127.657133456585,0,40.6436160622357,0,38.7424506869274
-17.033333,20.933297,MRT,"Nouadhibou - Mauritania",TRUE,118,5196.45446473013,38.9206658183864,613181626.838156,4592638.5665696,MRNDB,Nouadhibou,AI,197.0295,2,1596.41948104969,118,27255.6400379038,29086.9030853047,0.691151691647001,1608.21379635368,118,29337.5627404824,31103.2990936575,0.646847284751827,0,45.8463197198824,0,49.9424386502606,0,30.8790861498585,0,64.9974678500008,0,9.42524899226968,0,143.376346430645,118,11573.8087849458,11882.7300665696,1.25032196837871
-16.8981705,21.2914486,MRT,"",FALSE,0,5538.53368337853,18.6296720206833,0,0,,,,0,2,1419.84070255409,1e-06,7.1532006720131e-05,2156.15812198033,2.40721065182768,1420.66318814423,1e-06,7.19474592993664e-05,2159.60205118784,2.07926745852004,1e-06,22.0431479966576,1.86296720206833e-05,44.1886194324706,0,14.1996150259594,0,59.2436486388874,0,4.01055958871345,0,137.622527266082,0,228.278881461795,0,9.30070108596551
-15.978542,18.085588,MRT,"Nouakchott - Mauritania",TRUE,1440.712,3726.39485774327,41.8651880562521,5368661788.28902,60315678.8148991,MRNKC,Nouakchott,AI,334.524,2,1527.11288525982,1440.712,213497.492598729,225245.201438361,1.03052691505196,1539.42289175848,1440.712,231345.345757669,247134.552013388,0.958681501022874,0,729.372542206501,0,46.594041943905,0,326.602173547704,0,79.6068817157378,0,155.5797826989,0,130.515237864028,1440.712,71410.9438048994,72693.0668148991,2.19341164204394
-15.67383,23.8871498,ESH,"",FALSE,0,7041.16211331411,31.3978211479454,0,0,,,,0,3,1446.24431047029,1e-06,8.60044303883547e-05,3292.23043795691,2.03990739536492,1454.86797388039,1e-06,9.12725171053308e-05,3311.85323382222,1.67698705232537,1e-06,221.577159131419,3.13978211479454e-05,10.1756096355593,0,56.750968366652,0,25.2306388355722,0,6.47310801497126,0,107.2758247416,0,31.1990796112216,0,37.5966581093267
-16.2439098,15.6356897,SEN,"Banikoara - Benin",FALSE,93.802,2287.6183979327,43.5760615586268,214583180.962884,4087521.72632231,,,,0,1,1527.65396911854,93.802,13949.7432838396,19711.590914038,1.02723619262368,1547.57249963288,93.802,15879.116123298,21450.9073694695,0.914190654619595,93.802,3700.28452274495,4087.52172632231,2.95014803925892,0,206.201991438826,0,20.2211252334568,0,13.4708341729554,0,124.662996717012,0,65.49236600715,0,43.4383615327258
-16.577537,13.453171,GMB,"Banjul - Gambia, The",TRUE,976.753,1827.81084253539,39.6195599018914,1785319723.87897,38698523.9928521,GMBJL,Banjul,AI,184.275,4,1532.0169199707,976.753,149459.856499145,159982.818835422,1.00120669212009,1550.39609841775,976.753,168389.734114315,183493.945372153,0.899314942392336,0,889.002303834233,0,31.4092604591055,0,415.881094784742,0,52.1210932053985,0,84.2481314429689,0,151.107533593155,976.753,44217.6725998027,45516.6989928521,2.32235735868347
